file_key,sign,cluster_id,start_row,duration_rows,duration_seconds,bjd_mid,score,event_or,context_event_or,members
CH_PR100006_TG000302_V0300,positive,0,217,2,88.4400024414062,2459200.9455800224,9.100854632549808,0,0,2
CH_PR100006_TG000302_V0300,positive,1,517,3,132.6600036621093,2459201.220138864,9.380789476283251,0,0,1
CH_PR100006_TG000302_V0300,positive,2,1064,2,88.4400024414062,2459201.701198887,9.116612652019676,0,0,2
CH_PR100006_TG000302_V0300,negative,0,738,1,44.2200012207031,2459201.4193945383,-8.661269724925077,0,0,1
CH_PR100006_TG000303_V0300,positive,0,444,3,132.6600036621093,2459202.250681145,12.356327221640496,0,0,3
CH_PR100006_TG000303_V0300,positive,1,681,3,132.6600036621093,2459202.4571822095,8.719320253927227,0,0,2
CH_PR100006_TG000304_V0300,positive,0,274,2,88.4400024414062,2459208.5015913937,9.433684912204336,0,0,1
CH_PR100006_TG000304_V0300,positive,1,434,1,44.2200012207031,2459208.638998816,9.373229899062776,0,0,4
