window,on_max_snr,spectral_width_channels,one_channel_max_snr,frequency_mhz,scale,phase_cycles,active_epochs,off_same_hypothesis_snr,off_global_max_snr,empirical_window_p,null_99th_percentile
m30_1400p5,17.588180643507055,3,12.4663459068573,1400.0434014126658,0.25,-0.2,1+3,-inf,14.718773295016751,0.0038910505836575876,11.218682289123535
m30_1406p5,5.5729465164958585,5,5.0973059451659894,1406.8535570576787,1.0,0.0,1+2+3,-inf,6.030379851483208,0.7859922178988327,6.500179767608643
m30_1412p5,5.527776468381963,9,5.2914215167652205,1412.561696395278,0.25,-0.2,1+2+3,-inf,5.819006999880101,0.8443579766536965,6.583544731140137
m30_1418p5,5.823329580663379,9,5.56529173838901,1418.2644601389766,0.75,-0.1,1+3,-inf,5.7192949741486645,0.42023346303501946,6.5295939445495605
m30_1425p0,26.063907832950388,9,13.911727906641172,1425.0476567074656,1.0,0.0,2+3,15.206295669811118,21.039940101591657,0.0038910505836575876,7.351704120635986
