window,on_max_snr,spectral_width_channels,one_channel_max_snr,frequency_mhz,scale,phase_cycles,active_epochs,off_same_hypothesis_snr,off_global_max_snr,empirical_window_p,null_99th_percentile
m33_1400p5,3394.304518137977,33,5.280468056599421,1400.2292757034302,0.25,0.2,1+3,-inf,2731.6698506969046,0.0038910505836575876,7.9314656257629395
m33_1406p5,3873.2958205244836,33,5.705763475553151,1406.087976373732,0.25,0.2,1+3,-inf,3856.232035690596,0.0038910505836575876,6.707423686981201
m33_1412p5,9.35872187318512,33,5.9830850183078,1412.296750023961,0.5,0.2,2+3,-inf,12.404149296747592,0.0038910505836575876,7.758741855621338
m33_1418p5,9.92766521580677,33,5.286823464180076,1418.9753964021802,1.0,0.1,1+2,4.544221281527229,9.865294108800132,0.0038910505836575876,9.440106391906738
m33_1425p0,10.960506001188135,33,5.936054530166252,1425.1273769885302,0.75,0.1,1+2+3,-inf,37.09707881605173,0.0038910505836575876,10.329352378845215
