ccd,grid_row,grid_col,row_residue,column_residue,maximum_flux_difference,maximum_uncertainty_difference,phase_sum
3,1,45,0,0,0.0,0.0,1.0000000000000002
3,1,45,0,1,2.7755575615628914e-17,1.734723475976807e-18,0.9999999999999997
3,1,45,0,2,0.0,0.0,0.9999999999999994
3,1,45,0,3,0.0,0.0,1.0000000000000004
3,1,45,0,4,0.0,0.0,1.0000000000000004
3,1,45,0,5,0.0,0.0,1.0000000000000004
3,1,45,0,6,0.0,0.0,0.9999999999999998
3,1,45,0,7,2.7755575615628914e-17,3.469446951953614e-18,1.0000000000000002
3,1,45,0,8,0.0,0.0,0.9999999999999999
3,1,45,1,0,1.3877787807814457e-17,1.734723475976807e-18,1.0000000000000007
3,1,45,1,1,2.7755575615628914e-17,1.734723475976807e-18,1.0000000000000004
3,1,45,1,2,2.7755575615628914e-17,1.734723475976807e-18,1.0000000000000002
3,1,45,1,3,2.7755575615628914e-17,1.734723475976807e-18,1.0000000000000009
3,1,45,1,4,2.7755575615628914e-17,8.673617379884035e-19,1.0000000000000009
3,1,45,1,5,1.3877787807814457e-17,3.469446951953614e-18,1.0000000000000002
3,1,45,1,6,1.3877787807814457e-17,1.734723475976807e-18,0.9999999999999998
3,1,45,1,7,2.7755575615628914e-17,3.469446951953614e-18,0.9999999999999996
3,1,45,1,8,2.7755575615628914e-17,1.734723475976807e-18,0.9999999999999997
3,1,45,2,0,0.0,0.0,1.0
3,1,45,2,1,6.938893903907228e-18,1.734723475976807e-18,0.9999999999999996
3,1,45,2,2,0.0,0.0,1.0000000000000002
3,1,45,2,3,0.0,0.0,1.0000000000000002
3,1,45,2,4,0.0,0.0,1.0
3,1,45,2,5,0.0,0.0,1.0
3,1,45,2,6,0.0,0.0,0.9999999999999998
3,1,45,2,7,1.3877787807814457e-17,3.469446951953614e-18,0.9999999999999996
3,1,45,2,8,0.0,0.0,1.0
3,1,45,3,0,0.0,0.0,1.0
3,1,45,3,1,2.7755575615628914e-17,1.734723475976807e-18,1.0000000000000002
3,1,45,3,2,0.0,0.0,0.9999999999999997
3,1,45,3,3,0.0,0.0,0.9999999999999999
3,1,45,3,4,0.0,0.0,1.0
3,1,45,3,5,0.0,0.0,0.9999999999999997
3,1,45,3,6,0.0,0.0,1.0000000000000007
3,1,45,3,7,2.7755575615628914e-17,1.734723475976807e-18,1.0
3,1,45,3,8,0.0,0.0,0.9999999999999997
3,1,45,4,0,0.0,0.0,1.0
3,1,45,4,1,6.938893903907228e-18,1.734723475976807e-18,1.0000000000000004
3,1,45,4,2,0.0,0.0,1.0
3,1,45,4,3,0.0,0.0,1.0
3,1,45,4,4,0.0,0.0,0.9999999999999999
3,1,45,4,5,0.0,0.0,0.9999999999999998
3,1,45,4,6,0.0,0.0,0.9999999999999993
3,1,45,4,7,2.7755575615628914e-17,4.336808689942018e-19,1.0
3,1,45,4,8,0.0,0.0,1.0
3,1,45,5,0,0.0,0.0,1.0000000000000004
3,1,45,5,1,2.7755575615628914e-17,3.469446951953614e-18,0.9999999999999993
3,1,45,5,2,0.0,0.0,1.0
3,1,45,5,3,0.0,0.0,1.0
3,1,45,5,4,0.0,0.0,1.0000000000000002
3,1,45,5,5,0.0,0.0,1.0000000000000002
3,1,45,5,6,0.0,0.0,0.9999999999999998
3,1,45,5,7,2.7755575615628914e-17,1.734723475976807e-18,0.9999999999999997
3,1,45,5,8,0.0,0.0,0.9999999999999996
3,1,45,6,0,0.0,0.0,0.9999999999999999
3,1,45,6,1,2.7755575615628914e-17,3.469446951953614e-18,0.9999999999999999
3,1,45,6,2,0.0,0.0,1.0
3,1,45,6,3,0.0,0.0,0.9999999999999997
3,1,45,6,4,0.0,0.0,1.0
3,1,45,6,5,0.0,0.0,1.0000000000000007
3,1,45,6,6,0.0,0.0,1.0000000000000004
