representative,field,status,beta_electron_per_unit,side_correlation,predicted_flux_mean_residual,remaining_flux_mean_residual,predicted_fraction_of_flux_residual
TG000302 P0,DARK,AVAILABLE,68.00304429222568,0.18144849815477135,909.7447215082123,132911.64273076525,0.006798201235453988
TG000302 P0,BACKGROUND,AVAILABLE,-1.9517328013758242,-0.3484674822487862,37357.705682476815,96463.68176979665,0.27916095023151816
TG000302 P0,CONTA_LC,AVAILABLE,6169783335.164215,0.06937197534378527,-933.6150486385658,134755.00250091203,-0.006976575765749953
TG000302 P0,SMEARING_LC,AVAILABLE,-0.18872952076799546,-0.0074434487133209,-51838.85506224412,185660.24251451757,-0.38737346883906815
TG000302 P0,ROLL_ANGLE,AVAILABLE,770.7333928016417,0.1674063270134914,-6941.345167770267,140762.7326200437,-0.05187022268952228
TG000302 P0,OFFSET_X,AVAILABLE,72765.03732733503,0.39730536403586425,-239.2711069687974,134060.65855924226,-0.0017879885384847912
TG000302 P0,OFFSET_Y,AVAILABLE,-95989.84067456242,-0.42429036187560076,-10263.805980360767,144085.19343263423,-0.07669779977450382
TG000302 P1,DARK,AVAILABLE,65.479613007792,0.1670457549594775,1526.2345273883095,113538.53181211787,0.013264134417003498
TG000302 P1,BACKGROUND,AVAILABLE,-0.17225711523581066,-0.03082792348419478,2919.203985600898,112145.56235390529,0.02537009441263361
TG000302 P1,CONTA_LC,AVAILABLE,-60866714827.51977,-0.5408100325245474,9966.773024689723,105097.99331481646,0.08661880905647608
TG000302 P1,SMEARING_LC,AVAILABLE,4.019863198015534,0.13271659843613262,879844.1996807999,-764779.4333412937,7.646512722102624
TG000302 P1,ROLL_ANGLE,AVAILABLE,-3582.171393392128,-0.67137243770839,33889.05229251401,81175.71404699217,0.2945215409600027
TG000302 P1,OFFSET_X,AVAILABLE,39342.597811625674,0.20707558831331688,823.2393375289957,114241.52700197719,0.007154573582498519
TG000302 P1,OFFSET_Y,AVAILABLE,6942.6803220602405,0.026581040108033624,957.7577180392306,114107.00862146696,0.00832364022895856
TG000302 P2,DARK,AVAILABLE,-11.520217336129555,-0.0466102525366468,-216.538915093105,134262.05674678815,-0.001615413320757111
TG000302 P2,BACKGROUND,AVAILABLE,-0.5877151665258271,-0.1691925431338714,9889.964579245652,124155.55325244938,0.07378064361438255
TG000302 P2,CONTA_LC,AVAILABLE,3849320913.5311513,0.06909347014308112,-530.1279236792049,134575.64575537425,-0.003954835135515857
TG000302 P2,SMEARING_LC,AVAILABLE,4.375502673588013,0.2786261336719663,1201903.597742327,-1067858.079910632,8.966384084930121
TG000302 P2,ROLL_ANGLE,AVAILABLE,-41.81068840432197,-0.013663706839260123,363.91122443748174,133681.60660725756,0.0027148332172837113
TG000302 P2,OFFSET_X,AVAILABLE,-5205.885551690556,-0.04658808914634812,88.08073088964557,133957.4371008054,0.0006570956814851358
TG000302 P2,OFFSET_Y,AVAILABLE,-9864.961993862473,-0.06991305367246001,-1325.4938654644675,135371.0116971595,-0.009888386325074532
TG000302 N0,DARK,AVAILABLE,-8.341942435832502,-0.010557865045070272,-86.73919172174566,-226964.3440892542,0.0003820250071848625
TG000302 N0,BACKGROUND,AVAILABLE,-1.336983891878949,-0.41423071709627857,-10541.507695273927,-216509.57558570203,0.04642791191719971
TG000302 N0,CONTA_LC,AVAILABLE,-61614815474.534874,-0.46325101312616834,-49761.709768165936,-177289.37351281004,0.2191652602977708
TG000302 N0,SMEARING_LC,AVAILABLE,0.48340029726536293,0.8286361798475572,-11710.3993703563,-215340.68391061967,0.051576055930394604
TG000302 N0,ROLL_ANGLE,AVAILABLE,-630.8959845760917,-0.06414178245062076,-4019.1484879922523,-223031.9347929837,0.017701516460146335
TG000302 N0,OFFSET_X,AVAILABLE,20246.34636925971,0.07959698084686315,159.07563578446525,-227210.1589167604,-0.0007006160617503374
TG000302 N0,OFFSET_Y,AVAILABLE,93881.51815993512,0.301063255005134,-4498.107856440195,-222552.97542453578,0.01981099491550887
TG000303 P0,DARK,AVAILABLE,47.86937510002987,0.12814632283640237,396.06080057912254,173941.63136115036,0.0022718024752312604
TG000303 P0,BACKGROUND,AVAILABLE,-1.5834235927422524,-0.293495160268503,26317.734444707025,148019.95771702245,0.15095837347836752
TG000303 P0,CONTA_LC,AVAILABLE,22646081135.516342,0.26093829255928513,-2391.712657925353,176729.40481965482,-0.013718850056283932
TG000303 P0,SMEARING_LC,AVAILABLE,10.548285094190666,0.32769369971040163,2369286.6685724068,-2194948.976410677,13.590214710278879
TG000303 P0,ROLL_ANGLE,AVAILABLE,1269.6904255118877,0.2547851849402586,-11534.076904014973,185871.76906574445,-0.06615939881385517
TG000303 P0,OFFSET_X,AVAILABLE,-3151.1200264879712,-0.017450995092583296,-174.4825654633535,174512.17472719282,-0.0010008309924252618
TG000303 P0,OFFSET_Y,AVAILABLE,6328.653342180681,0.029819493486340998,632.9844333386827,173704.7077283908,0.0036307950707037935
TG000303 P1,DARK,AVAILABLE,44.18521316106376,0.09409404230751386,-386.45609289942297,107050.55540069778,-0.0036231130756022674
TG000303 P1,BACKGROUND,AVAILABLE,-1.4961473585311857,-0.23956631843657206,25532.487950754137,81131.61135704422,0.23937283600057008
TG000303 P1,CONTA_LC,AVAILABLE,-20198980515.823513,-0.2337340792302391,6611.317178712065,100052.78212908629,0.06198259040873654
TG000303 P1,SMEARING_LC,AVAILABLE,16.484177092976736,0.4047623658266895,3390162.580512391,-3283498.4812045926,31.78353918997122
TG000303 P1,ROLL_ANGLE,AVAILABLE,-1734.981658436063,-0.33314771655010256,15780.478909857506,90883.62039794086,0.14794555067980378
