file_key,sign,cluster_id,start,duration,field,unit,status,event_mean,predicted_event_mean,mean_residual,sum_residual,side_mad,side_rms,mad_displacement,slope_per_second
CH_PR100006_TG000302_V0300,positive,0,217,2,FLUX,electron,AVAILABLE,391020098.6341506,390886277.2466984,133821.38745227345,267642.7749045469,16060.691103269008,24000.42761817322,8.332230947710297,40.059355111828935
CH_PR100006_TG000302_V0300,positive,0,217,2,DARK,electron,AVAILABLE,23521.992558305486,23508.6145583795,13.377999925985918,26.755999851971836,53.92502344430603,64.03892048826535,0.24808519443302177,-0.05802012919258189
CH_PR100006_TG000302_V0300,positive,0,217,2,BACKGROUND,electron,AVAILABLE,536078.8695428434,555219.6585156693,-19140.788972825816,-38281.57794565163,5026.295257390428,4285.099158605887,-3.808130639496775,-22.881783922236494
CH_PR100006_TG000302_V0300,positive,0,217,2,CONTA_LC,ratio,AVAILABLE,9.497491641956842e-06,9.648812198599e-06,-1.513205566421591e-07,-3.026411132843182e-07,3.353867630106624e-07,2.698566517691016e-07,-0.4511822568183718,-1.5040401525859503e-10
CH_PR100006_TG000302_V0300,positive,0,217,2,CONTA_LC_ERR,ratio,AVAILABLE,6.68373491502324e-07,6.68373491502324e-07,0.0,0.0,0.0,0.0,,0.0
CH_PR100006_TG000302_V0300,positive,0,217,2,SMEARING_LC,electron,AVAILABLE,315782.1679124739,41109.4254008801,274672.74251159385,549345.4850231877,427.9337728931757,946.57132252909,641.8580628833889,-0.3940959506624146
CH_PR100006_TG000302_V0300,positive,0,217,2,SMEARING_LC_ERR,ratio,AVAILABLE,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
CH_PR100006_TG000302_V0300,positive,0,217,2,ROLL_ANGLE,degree,AVAILABLE,18.74558514700675,27.751741144138578,-9.00615599713183,-18.01231199426366,6.942359355391305,5.212987359619405,-1.2972759743613413,-0.08196740331541799
CH_PR100006_TG000302_V0300,positive,0,217,2,LOCATION_X,pixel,AVAILABLE,280.0,280.0,0.0,0.0,0.0,0.0,,0.0
CH_PR100006_TG000302_V0300,positive,0,217,2,LOCATION_Y,pixel,AVAILABLE,828.0,828.0,0.0,0.0,0.0,0.0,,0.0
CH_PR100006_TG000302_V0300,positive,0,217,2,CENTROID_X,pixel,AVAILABLE,280.27757263183594,280.28086090207887,-0.003288270242924928,-0.006576540485849856,0.14558368622355164,0.13104505930449925,-0.022586804388752806,-2.9825072598652482e-05
CH_PR100006_TG000302_V0300,positive,0,217,2,CENTROID_Y,pixel,AVAILABLE,827.1620788574219,827.0551528962136,0.10692596120831675,0.2138519224166335,0.10212930146044186,0.10608570706777347,1.046966538292958,-7.8222887504182e-05
CH_PR100006_TG000302_V0300,positive,0,217,2,OFFSET_X,pixel,AVAILABLE,0.2775726318359375,0.28086090207886244,-0.003288270242924928,-0.006576540485849856,0.14558368622355164,0.13104505930449925,-0.022586804388752806,-2.9825072598652482e-05
CH_PR100006_TG000302_V0300,positive,0,217,2,OFFSET_Y,pixel,AVAILABLE,-0.837921142578125,-0.9448471037864418,0.10692596120831675,0.2138519224166335,0.10212930146044186,0.10608570706777347,1.046966538292958,-7.8222887504182e-05
CH_PR100006_TG000302_V0300,positive,1,517,3,FLUX,electron,AVAILABLE,390977825.11358935,390862760.34724987,115064.76633950618,345194.29901851853,20030.294579998448,27342.376926202214,5.744536900341238,65.52969789990175
CH_PR100006_TG000302_V0300,positive,1,517,3,DARK,electron,AVAILABLE,23530.196041358882,23506.887496037965,23.308545320918274,69.92563596275482,55.00918733703464,69.75343601191608,0.42372095370378104,-0.04542244178807432
CH_PR100006_TG000302_V0300,positive,1,517,3,BACKGROUND,electron,AVAILABLE,537012.7704716201,553959.5536660597,-16946.783194439693,-50840.34958331908,5359.4988076961,4893.317193911429,-3.1620089494384356,-23.09993217037355
CH_PR100006_TG000302_V0300,positive,1,517,3,CONTA_LC,ratio,AVAILABLE,9.51214775405698e-06,9.675895264546627e-06,-1.6374751048964827e-07,-4.912425314689448e-07,3.1868206656240004e-07,2.429411838089243e-07,-0.5138271891354935,-1.554489474345239e-10
CH_PR100006_TG000302_V0300,positive,1,517,3,CONTA_LC_ERR,ratio,AVAILABLE,6.68373491502324e-07,6.68373491502324e-07,0.0,0.0,0.0,0.0,,0.0
CH_PR100006_TG000302_V0300,positive,1,517,3,SMEARING_LC,electron,AVAILABLE,259922.5289270409,41048.364225329606,218874.1647017113,656622.4941051339,415.07787379053843,902.7141173847813,527.3086775330313,-0.3237271549658258
CH_PR100006_TG000302_V0300,positive,1,517,3,SMEARING_LC_ERR,ratio,AVAILABLE,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
CH_PR100006_TG000302_V0300,positive,1,517,3,ROLL_ANGLE,degree,AVAILABLE,20.42492200499267,29.885399623408038,-9.460477618415366,-28.381432855246096,6.856077783852035,5.124522596419649,-1.3798673114090705,-0.08291155850994172
CH_PR100006_TG000302_V0300,positive,1,517,3,LOCATION_X,pixel,AVAILABLE,280.0,280.0,0.0,0.0,0.0,0.0,,0.0
CH_PR100006_TG000302_V0300,positive,1,517,3,LOCATION_Y,pixel,AVAILABLE,828.0,828.0,0.0,0.0,0.0,0.0,,0.0
CH_PR100006_TG000302_V0300,positive,1,517,3,CENTROID_X,pixel,AVAILABLE,280.29628499348956,280.27536010842044,0.02092488506912296,0.06277465520736888,0.11998893517966294,0.14391369921700217,0.17439012220411423,-4.108133616322223e-06
