window,on_max_snr,spectral_width_channels,one_channel_max_snr,frequency_mhz,scale,phase_cycles,active_epochs,off_same_hypothesis_snr,off_global_max_snr,empirical_window_p,null_99th_percentile
m15_1400p5,24.233396698018456,9,9.705187849732802,1400.2203257894607,0.0,0.0,2+3,20.26210214205934,23.0071594287031,0.0038910505836575876,11.792826652526855
m15_1406p5,16.245723270835516,9,6.84816493120894,1406.1183440728319,0.25,-0.1,1+2,-inf,29.320220553372394,0.0038910505836575876,7.219950199127197
m15_1412p5,5.868573716777641,9,5.429009060792064,1412.966406289408,1.0,-0.1,2+3,-inf,5.9910382972092,0.5719844357976653,7.360664367675781
m15_1418p5,6.581184539204924,9,5.7189058744432115,1418.9423385362315,0.75,0.0,2+3,-inf,6.673262927734068,0.06614785992217899,6.915513515472412
m15_1425p0,7.472860799390379,3,5.862590212988247,1424.5452816557608,1.0,0.0,1+3,-inf,20.439698846440606,0.4280155642023346,9.92493724822998
