epoch1_on: eight native caches and all cropped baseline scores exact
epoch2_on: eight native caches and all cropped baseline scores exact
epoch3_on: eight native caches and all cropped baseline scores exact
32/149 z281 {'neighbor9': 411, 'off_window': 411, 'remaining_aggregate': 34, 'combined': 34, 'centered_receiver': 488, 'centered_receiver_off_match': 488, 'centered_receiver_off_match_aggregate': 74}
33/149 z286 {'neighbor9': 0, 'off_window': 0, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 0, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0}
34/149 z318 {'neighbor9': 13, 'off_window': 0, 'remaining_aggregate': 13, 'combined': 0, 'centered_receiver': 13, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0}
35/149 z324 {'neighbor9': 2, 'off_window': 0, 'remaining_aggregate': 2, 'combined': 0, 'centered_receiver': 2, 'centered_receiver_off_match': 2, 'centered_receiver_off_match_aggregate': 2}
36/149 z336 {'neighbor9': 1, 'off_window': 0, 'remaining_aggregate': 1, 'combined': 0, 'centered_receiver': 1, 'centered_receiver_off_match': 1, 'centered_receiver_off_match_aggregate': 1}
37/149 z346 {'neighbor9': 1, 'off_window': 0, 'remaining_aggregate': 1, 'combined': 0, 'centered_receiver': 1, 'centered_receiver_off_match': 1, 'centered_receiver_off_match_aggregate': 1}
38/149 fresh000 {'neighbor9': 13, 'off_window': 13, 'remaining_aggregate': 7, 'combined': 7, 'centered_receiver': 13, 'centered_receiver_off_match': 13, 'centered_receiver_off_match_aggregate': 7}
39/149 fresh001 {'neighbor9': 687, 'off_window': 687, 'remaining_aggregate': 19, 'combined': 19, 'centered_receiver': 687, 'centered_receiver_off_match': 687, 'centered_receiver_off_match_aggregate': 19}
40/149 fresh002 {'neighbor9': 1, 'off_window': 1, 'remaining_aggregate': 1, 'combined': 1, 'centered_receiver': 1, 'centered_receiver_off_match': 1, 'centered_receiver_off_match_aggregate': 1}
41/149 fresh003 {'neighbor9': 1, 'off_window': 1, 'remaining_aggregate': 1, 'combined': 1, 'centered_receiver': 1, 'centered_receiver_off_match': 1, 'centered_receiver_off_match_aggregate': 1}
42/149 fresh004 {'neighbor9': 283, 'off_window': 283, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 306, 'centered_receiver_off_match': 306, 'centered_receiver_off_match_aggregate': 0}
43/149 fresh005 {'neighbor9': 0, 'off_window': 0, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 0, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0}
