window,on_max_snr,spectral_width_channels,one_channel_max_snr,frequency_mhz,scale,phase_cycles,active_epochs,off_same_hypothesis_snr,off_global_max_snr,empirical_window_p,null_99th_percentile
m17_1400p5,140.93642875968428,9,48.84488232160972,1400.2548712417483,1.0,-0.2,2+3,77.5420281431818,116.9303175402179,0.0038910505836575876,7.124536991119385
m17_1406p5,5.744709186625945,5,5.293979999057226,1406.9987986758351,0.5,0.0,2+3,-inf,5.503745875620309,0.4357976653696498,6.603476524353027
m17_1412p5,5.555525807826854,3,5.43407747220659,1412.1092915534973,0.25,-0.2,1+3,-inf,5.546261256174582,0.7626459143968871,6.411306381225586
m17_1418p5,5.36823937438554,9,5.062262020740939,1418.2712830081582,0.75,-0.2,1+2,-inf,5.769657423546089,0.9922178988326849,6.48667573928833
m17_1425p0,7.323422910261424,9,6.708712136254399,1425.0202395021915,0.75,0.1,1+2,-inf,8.003618977316574,0.32684824902723736,8.912419319152832
