window,on_max_snr,frequency_mhz,scale,phase_cycles,active_epochs,off_same_hypothesis_snr,off_global_max_snr,empirical_window_p,null_99th_percentile
w1401,5.013673785078428,1401.2308731079102,0.75,0.1,2+3,-0.01310754344634251,5.860317654916539,0.9571984435797666,6.149519214154651
w1410,5.707834403101581,1410.230712890625,0.5,0.1,1+2,0.7602266460009498,5.1492419892994175,0.0933852140077821,6.04769782294894
w1421,5.056610971292598,1421.2546730041504,1.0,0.2,2+3,0.060113459975209,5.0440100751122054,0.9260700389105059,6.203591685893773
w1426,5.2356026575366945,1426.2499046325684,0.5,0.0,1+2+3,-0.7475001577871666,4.929679499268461,0.5680933852140078,6.364691845120815
