window,on_max_snr,spectral_width_channels,one_channel_max_snr,frequency_mhz,scale,phase_cycles,active_epochs,off_same_hypothesis_snr,off_global_max_snr,empirical_window_p,null_99th_percentile
m10_1400p5,9.075506515134707,9,6.1545067036200365,1400.04848200114,0.75,0.1,1+2,-inf,6.9124601171997035,0.4280155642023346,12.607853889465332
m10_1406p5,8.06590469225417,9,6.072409363167848,1406.9630819988308,1.0,0.1,1+2+3,-inf,6.445680735368459,0.8521400778210116,9.242349624633789
m10_1412p5,8.364516854764174,9,7.2506066430261225,1412.6605039995948,1.0,-0.1,1+2+3,-inf,6.30925577001094,0.5291828793774319,11.315693855285645
m10_1418p5,8.284177517981446,9,6.110833127668684,1418.2218400007023,1.0,-0.2,2+3,-inf,6.339241398265107,0.6342412451361867,9.43695068359375
m10_1425p0,9.31154033073851,9,6.407898951664142,1424.937812000157,0.25,0.0,1+2,-inf,6.53747589707561,0.17898832684824903,11.28696060180664
