window,on_max_snr,spectral_width_channels,one_channel_max_snr,frequency_mhz,scale,phase_cycles,active_epochs,off_same_hypothesis_snr,off_global_max_snr,empirical_window_p,null_99th_percentile
m16_1400p5,7.923128638250431,9,5.146824446068833,1400.3008459806442,1.0,0.0,1+2+3,-inf,8.481496924417081,0.0038910505836575876,6.8227691650390625
m16_1406p5,5.6955774252050375,9,5.451174594186125,1406.920369207859,1.0,0.2,1+3,-inf,5.7127342271220645,0.5291828793774319,6.588690280914307
m16_1412p5,9.145455447972115,9,5.383579815719141,1412.485745176673,0.75,0.1,1+2,-inf,5.306353976605236,0.0038910505836575876,6.5975022315979
m16_1418p5,5.500191379004295,3,5.365992441597728,1418.4692384153605,1.0,-0.2,1+3,-inf,5.490199204159332,0.8871595330739299,6.643490314483643
m16_1425p0,7.478254271730038,9,5.484119268380544,1425.1362785696983,1.0,0.1,1+2+3,-inf,7.1737321400414045,0.007782101167315175,7.428847789764404
