name,camera,ccd,grid_row,grid_col,row_residue,column_residue,phase_sum,uncertainty_entry_sum
tess2019107181902-prf-4-3-row0001-col0045.fits,4,3,1,45,0,0,1.0000000000000002,0.112171879661128
tess2019107181902-prf-4-3-row0001-col0045.fits,4,3,1,45,0,1,0.9999999999999997,0.11919445683596205
tess2019107181902-prf-4-3-row0001-col0045.fits,4,3,1,45,0,2,0.9999999999999994,0.1205921891749213
tess2019107181902-prf-4-3-row0001-col0045.fits,4,3,1,45,0,3,1.0000000000000004,0.11796613069319253
tess2019107181902-prf-4-3-row0001-col0045.fits,4,3,1,45,0,4,1.0000000000000004,0.12020145167184494
tess2019107181902-prf-4-3-row0001-col0045.fits,4,3,1,45,0,5,1.0000000000000004,0.11775591986796892
tess2019107181902-prf-4-3-row0001-col0045.fits,4,3,1,45,0,6,0.9999999999999998,0.11455264712462615
tess2019107181902-prf-4-3-row0001-col0045.fits,4,3,1,45,0,7,1.0000000000000002,0.1294240164368648
tess2019107181902-prf-4-3-row0001-col0045.fits,4,3,1,45,0,8,0.9999999999999999,0.11825824839662637
tess2019107181902-prf-4-3-row0001-col0045.fits,4,3,1,45,1,0,1.0000000000000007,0.11436234342146126
tess2019107181902-prf-4-3-row0001-col0045.fits,4,3,1,45,1,1,1.0000000000000007,0.12124189152067938
tess2019107181902-prf-4-3-row0001-col0045.fits,4,3,1,45,1,2,1.0000000000000002,0.11945635082088488
tess2019107181902-prf-4-3-row0001-col0045.fits,4,3,1,45,1,3,1.0000000000000009,0.11809270403133383
tess2019107181902-prf-4-3-row0001-col0045.fits,4,3,1,45,1,4,1.0000000000000009,0.10958318093163959
tess2019107181902-prf-4-3-row0001-col0045.fits,4,3,1,45,1,5,1.0000000000000002,0.1147745267418614
tess2019107181902-prf-4-3-row0001-col0045.fits,4,3,1,45,1,6,0.9999999999999998,0.11745217523344464
tess2019107181902-prf-4-3-row0001-col0045.fits,4,3,1,45,1,7,0.9999999999999996,0.12151055735534644
tess2019107181902-prf-4-3-row0001-col0045.fits,4,3,1,45,1,8,0.9999999999999997,0.11229603311644296
tess2019107181902-prf-4-3-row0001-col0045.fits,4,3,1,45,2,0,1.0,0.11319894926022107
tess2019107181902-prf-4-3-row0001-col0045.fits,4,3,1,45,2,1,0.9999999999999996,0.11719430154700074
tess2019107181902-prf-4-3-row0001-col0045.fits,4,3,1,45,2,2,1.0000000000000002,0.1236170244740322
tess2019107181902-prf-4-3-row0001-col0045.fits,4,3,1,45,2,3,1.0000000000000002,0.12154680310618454
tess2019107181902-prf-4-3-row0001-col0045.fits,4,3,1,45,2,4,1.0,0.1111806756239149
tess2019107181902-prf-4-3-row0001-col0045.fits,4,3,1,45,2,5,1.0,0.11577527417039114
tess2019107181902-prf-4-3-row0001-col0045.fits,4,3,1,45,2,6,0.9999999999999998,0.11909470880356834
tess2019107181902-prf-4-3-row0001-col0045.fits,4,3,1,45,2,7,0.9999999999999996,0.11999836515804392
tess2019107181902-prf-4-3-row0001-col0045.fits,4,3,1,45,2,8,1.0,0.12010081776318751
tess2019107181902-prf-4-3-row0001-col0045.fits,4,3,1,45,3,0,1.0,0.11110175717915846
tess2019107181902-prf-4-3-row0001-col0045.fits,4,3,1,45,3,1,1.0000000000000004,0.1236675281837252
tess2019107181902-prf-4-3-row0001-col0045.fits,4,3,1,45,3,2,0.9999999999999997,0.12195918155958668
tess2019107181902-prf-4-3-row0001-col0045.fits,4,3,1,45,3,3,0.9999999999999999,0.12012037155187791
tess2019107181902-prf-4-3-row0001-col0045.fits,4,3,1,45,3,4,1.0,0.11826314112310968
tess2019107181902-prf-4-3-row0001-col0045.fits,4,3,1,45,3,5,0.9999999999999997,0.11778533265724261
tess2019107181902-prf-4-3-row0001-col0045.fits,4,3,1,45,3,6,1.0000000000000007,0.12204692420270405
tess2019107181902-prf-4-3-row0001-col0045.fits,4,3,1,45,3,7,1.0,0.10898828966012084
tess2019107181902-prf-4-3-row0001-col0045.fits,4,3,1,45,3,8,0.9999999999999997,0.1179540083026006
tess2019107181902-prf-4-3-row0001-col0045.fits,4,3,1,45,4,0,1.0,0.11929243406524626
tess2019107181902-prf-4-3-row0001-col0045.fits,4,3,1,45,4,1,1.0000000000000004,0.12499979219474358
tess2019107181902-prf-4-3-row0001-col0045.fits,4,3,1,45,4,2,1.0,0.11721854295077275
tess2019107181902-prf-4-3-row0001-col0045.fits,4,3,1,45,4,3,1.0,0.12075291234401533
tess2019107181902-prf-4-3-row0001-col0045.fits,4,3,1,45,4,4,0.9999999999999999,0.11698582930037661
tess2019107181902-prf-4-3-row0001-col0045.fits,4,3,1,45,4,5,0.9999999999999998,0.11436396091823921
tess2019107181902-prf-4-3-row0001-col0045.fits,4,3,1,45,4,6,0.9999999999999993,0.11769302460985648
tess2019107181902-prf-4-3-row0001-col0045.fits,4,3,1,45,4,7,1.0,0.11668078894784603
tess2019107181902-prf-4-3-row0001-col0045.fits,4,3,1,45,4,8,1.0,0.11852452430741922
tess2019107181902-prf-4-3-row0001-col0045.fits,4,3,1,45,5,0,1.0000000000000004,0.12242860877390387
tess2019107181902-prf-4-3-row0001-col0045.fits,4,3,1,45,5,1,0.9999999999999996,0.13005848496321276
tess2019107181902-prf-4-3-row0001-col0045.fits,4,3,1,45,5,2,1.0,0.11858598091522915
