sector,context,cadence,time_spacecraft_btjd,quaternion_rows,finite_fom_rows,minimum_fom,finite_guide_count_rows,minimum_guides_used
29,0,3719082,2088.353158048535,10,10,252.0,10,200.0
29,0,3719083,2088.353389529916,10,10,252.0,10,200.0
29,0,3719084,2088.3536210112966,10,10,252.0,10,200.0
29,0,3719085,2088.353852492677,10,10,252.0,10,200.0
29,0,3719086,2088.354083974057,10,10,236.0,10,199.0
29,0,3719087,2088.3543154554372,10,10,252.0,10,200.0
29,0,3719088,2088.354546936818,10,10,252.0,10,200.0
29,0,3719089,2088.354778418199,10,10,252.0,10,200.0
29,0,3719090,2088.35500989958,10,10,236.0,10,199.0
29,0,3719091,2088.3552413809607,10,10,252.0,10,200.0
29,0,3719092,2088.355472862341,10,10,252.0,10,200.0
29,0,3719093,2088.355704343721,10,10,236.0,10,198.0
29,0,3719094,2088.3559358251014,10,10,252.0,10,200.0
29,0,3719095,2088.3561673064814,10,10,252.0,10,200.0
29,0,3719096,2088.3563987878615,10,10,252.0,10,200.0
29,0,3719097,2088.3566302692425,10,10,252.0,10,200.0
29,0,3719098,2088.3568617506235,10,10,236.0,10,199.0
29,0,3719099,2088.3570932320035,10,10,236.0,10,199.0
29,0,3719100,2088.3573247133836,10,10,252.0,10,200.0
29,0,3719101,2088.357556194764,10,10,252.0,10,200.0
29,0,3719102,2088.3577876761447,10,10,236.0,10,199.0
29,0,3719103,2088.3580191575256,10,10,252.0,10,200.0
29,0,3719104,2088.3582506389066,10,10,252.0,10,200.0
29,0,3719105,2088.358482120287,10,10,252.0,10,200.0
29,0,3719106,2088.358713601667,10,10,236.0,10,199.0
29,0,3719107,2088.3589450830473,10,10,252.0,10,200.0
29,0,3719108,2088.359176564428,10,10,252.0,10,200.0
29,0,3719109,2088.359408045809,10,10,252.0,10,200.0
29,0,3719110,2088.3596395271898,10,10,252.0,10,200.0
29,0,3719111,2088.3598710085703,10,10,252.0,10,200.0
29,0,3719112,2088.3601024899503,10,10,252.0,10,200.0
29,0,3719113,2088.3603339713304,10,10,252.0,10,200.0
29,0,3719114,2088.360565452711,10,10,236.0,10,199.0
29,0,3719115,2088.360796934092,10,10,252.0,10,200.0
29,0,3719116,2088.361028415473,10,10,252.0,10,200.0
29,0,3719117,2088.3612598968534,10,10,252.0,10,200.0
29,0,3719118,2088.361491378234,10,10,236.0,10,199.0
29,0,3719119,2088.361722859614,10,10,252.0,10,200.0
29,0,3719120,2088.361954340994,10,10,252.0,10,200.0
29,0,3719121,2088.362185822375,10,10,252.0,10,200.0
29,0,3719122,2088.362417303756,10,10,252.0,10,200.0
29,0,3719123,2088.3626487851366,10,10,252.0,10,200.0
