best_free_drift_hz_s,best_free_frequency_mhz,best_free_snr,best_stationary_frequency_mhz,best_stationary_offset_from_prediction_hz,best_stationary_snr,candidate_track_snr,epoch,kind,original_candidate_ordinal,predicted_drift_hz_s,predicted_end_mhz,predicted_mid_mhz,predicted_start_mhz,rest_frequency_mhz,scan,width_channels
-0.13265532463352053,1425.1064658164978,4.038477897644043,1425.106454640627,-97.97596726457414,2.826611042022705,0.7316588163375854,1,on,1,0.1919295492626844,1425.1065788875871,1425.1065526165942,1425.1065263364771,1425.3152769058943,independent_on1,9
-1.7551319874588873,1425.1066390424967,4.8297438621521,1425.1065719872713,-45.26662769421819,1.2798027992248535,-0.4739593267440796,1,off,1,0.19167876439805986,1425.1066434910078,1425.106617253899,1425.1065910085638,1425.3152769058943,independent_off1,9
-0.40817022964160166,1425.1066222786903,3.9912378787994385,1425.1067787408829,97.1212587046466,2.4648518562316895,0.3232526481151581,2,on,1,0.1914546502757536,1425.1067078264975,1425.1066816196242,1425.1066554054169,1425.3152769058943,independent_on2,9
1.5408426168970464,1425.1069240272045,4.322690963745117,1425.1067843288183,-90.57055444827711,1.7786259651184082,0.387307733297348,3,off,1,0.1909386610562154,1425.1069010369897,1425.1068748993728,1425.106848757189,1425.3152769058943,independent_off_late,9
-1.000017062621924,1425.1300441101193,4.023350715637207,1425.1300441101193,99.07600906444713,2.092115879058838,1.1868455410003662,1,on,3,0.27550530610810425,1425.129982743034,1425.1299450341103,1425.1299073085336,1425.1348843798041,independent_on1,9
-1.5306383611560064,1425.1301167532802,4.449482440948486,1425.130097195506,59.39571292401524,2.7933411598205566,0.9631674289703369,1,off,3,0.27503703556919734,1425.1300754450624,1425.1300377997932,1425.1300001387765,1425.1348843798041,independent_off1,9
-0.29592341649016124,1425.1300301402807,3.642852783203125,1425.130038522184,-91.615316705429,2.2825376987457275,-0.47814059257507324,2,on,3,0.2745962894489516,1425.1301677228787,1425.1301301375006,1425.130092537271,1425.1348843798041,independent_on2,9
-1.5306383611560064,1425.130502320826,3.8710408210754395,1425.1303290948272,-78.04956612744718,1.4467134475708008,0.38408517837524414,3,off,3,0.2734296460580647,1425.1304445714502,1425.1304071443933,1425.1303697052742,1425.1348843798041,independent_off_late,9
-0.18367660333872077,1425.2660851925611,4.297957420349121,1425.2661522477865,12.051035128024523,2.745445966720581,0.9929513931274414,1,on,5,-0.060369705637940106,1425.2661319262093,1425.2661401967514,1425.266148455686,1425.3288304433227,independent_on1,9
0.4285787411236818,1425.266026519239,3.653404712677002,1425.2661997452378,79.94810630407301,2.3085689544677734,0.5187321305274963,1,off,5,-0.06069213620310488,1425.2661114828984,1425.2661197971315,1425.266128100658,1425.3288304433227,independent_off1,9
0.500008531310962,1425.2661690115929,4.59156608581543,1425.2660851925611,-14.161684703140054,2.5827109813690186,0.6616056561470032,2,on,5,-0.060987535621736616,1425.2660910000263,1425.2660993542459,1425.2661076986676,1425.3288304433227,independent_on2,9
-1.3367575020762454,1425.2659538760781,4.121619701385498,1425.2659510821104,-86.22481323072861,2.4726343154907227,-0.08707058429718018,3,off,5,-0.061716949739957415,1425.2660288542354,1425.2660373069236,1425.2660457525933,1425.3288304433227,independent_off_late,9
