window,on_max_snr,spectral_width_channels,one_channel_max_snr,frequency_mhz,scale,phase_cycles,active_epochs,off_same_hypothesis_snr,off_global_max_snr,empirical_window_p,null_99th_percentile
m22_1400p5,16.111804188503058,9,8.173521472978276,1400.1140681336483,0.25,0.2,1+2,-inf,14.650534512704521,0.0038910505836575876,8.364510536193848
m22_1406p5,5.455164046278772,1,5.455164046278772,1406.839438116489,1.0,0.2,1+2,-inf,5.9419968986314995,0.8482490272373541,6.314781188964844
m22_1412p5,5.684712979183294,9,5.511151582665856,1412.5866047745433,1.0,0.1,1+3,-inf,5.535618333988611,0.5525291828793775,6.6814656257629395
m22_1418p5,5.796586899521034,5,5.4814667143226625,1418.5243966715752,1.0,-0.2,1+3,-inf,5.617595303041453,0.29961089494163423,6.396650314331055
m22_1425p0,7.383095012913095,9,5.67599363916336,1425.467807028106,0.75,0.2,1+2+3,-inf,7.328626500016,0.027237354085603113,7.548723220825195
