window,on_max_snr,spectral_width_channels,one_channel_max_snr,frequency_mhz,scale,phase_cycles,active_epochs,off_same_hypothesis_snr,off_global_max_snr,empirical_window_p,null_99th_percentile
m25_1400p5,5.661870735989541,9,5.034385757961046,1400.73191299064,1.0,-0.2,1+3,-inf,5.606708603483695,0.6186770428015564,6.403045654296875
m25_1406p5,78.60241857513114,9,27.937588130350694,1406.2076964571506,0.25,0.1,2+3,116.32425529952532,119.23282752270067,0.0038910505836575876,8.008045196533203
m25_1412p5,5.447516247735379,9,5.259936135053642,1412.4821023023032,1.0,-0.2,2+3,-inf,7.214988847111748,0.9455252918287937,6.575794696807861
m25_1418p5,5.813576462743169,3,5.678012641794425,1418.1325329320325,0.5,-0.2,1+3,-inf,5.814432212355335,0.3424124513618677,6.706732749938965
m25_1425p0,12.470779524538585,9,5.672812057862969,1424.8926053073092,0.75,0.0,1+2+3,-inf,14.863963456165385,0.0038910505836575876,7.2143778800964355
