window,on_max_snr,spectral_width_channels,one_channel_max_snr,frequency_mhz,scale,phase_cycles,active_epochs,off_same_hypothesis_snr,off_global_max_snr,empirical_window_p,null_99th_percentile
w1401,6.724750192224551,9,5.013673785078428,1401.2449798583984,0.75,0.1,2+3,0.3162743555714182,5.860317654916539,0.16731517509727625,7.482961881691892
w1410,6.437740269109006,9,5.707834403101581,1410.2561492919922,1.0,0.0,1+2,1.4436076174615626,6.176315168913513,0.28793774319066145,7.159670602679016
w1421,6.100559338717815,9,5.056610971292598,1421.2382316589355,1.0,-0.2,1+2+3,0.7965116332182706,5.284161469228127,0.6926070038910506,6.881913941629983
w1426,6.178473087557271,9,5.2356026575366945,1426.2319641113281,0.5,0.0,1+2,-1.0085718932295715,5.352100840328536,0.6653696498054474,7.078388550864423
