window,on_max_snr,spectral_width_channels,one_channel_max_snr,frequency_mhz,scale,phase_cycles,active_epochs,off_same_hypothesis_snr,off_global_max_snr,empirical_window_p,null_99th_percentile
m23_1400p5,184.27316186457108,5,130.92927526193552,1400.135544236683,0.75,-0.2,1+2+3,164.78567417707214,339.1489000517344,0.0038910505836575876,7.945475101470947
m23_1406p5,6.773453067315013,9,5.676213477125192,1406.6429774253265,0.25,0.2,2+3,4.533618145966253,6.473137552711972,0.007782101167315175,6.5878071784973145
m23_1412p5,5.881627301306523,5,5.650214603565368,1412.5031785990984,1.0,0.0,1+2+3,5.641898946158326,13.11482203849295,0.30739299610894943,6.875382900238037
m23_1418p5,9.05101885897509,3,6.097782440320983,1418.9494244593216,1.0,0.2,2+3,-inf,72.3758090661274,0.0038910505836575876,6.619153022766113
m23_1425p0,7.8386681681532595,9,6.164021776139856,1425.216944367994,1.0,0.0,1+2+3,-inf,7.627699518177204,0.0038910505836575876,7.6115288734436035
