window,on_max_snr,spectral_width_channels,one_channel_max_snr,frequency_mhz,scale,phase_cycles,active_epochs,off_same_hypothesis_snr,off_global_max_snr,empirical_window_p,null_99th_percentile
m19_1400p5,6.980350935130628,9,5.449384870410959,1400.056046910584,0.75,-0.2,2+3,-inf,6.303724080437582,0.007782101167315175,6.8231201171875
m19_1406p5,5.729639915622098,3,5.21677708782891,1406.6258570700884,0.0,0.0,1+2+3,-inf,5.583540986619439,0.36964980544747084,6.407501220703125
m19_1412p5,5.487139342957441,9,4.976627379586929,1412.5746492296457,0.25,-0.1,1+2,-inf,6.058838752296917,0.8326848249027238,6.314006805419922
m19_1418p5,5.791298650144675,9,5.522344099756409,1418.466592527926,0.5,-0.2,2+3,-inf,6.839181920504722,0.28793774319066145,6.387117385864258
m19_1425p0,7.4146677545511555,9,5.545007977487263,1425.2404935657978,0.25,0.1,1+2+3,-inf,9.394646498156654,0.0311284046692607,7.599586009979248
