window,on_max_snr,spectral_width_channels,one_channel_max_snr,frequency_mhz,scale,phase_cycles,active_epochs,off_same_hypothesis_snr,off_global_max_snr,empirical_window_p,null_99th_percentile
m31_1400p5,33.19471222767169,33,7.590244155765464,1400.3355051502585,0.75,-0.2,2+3,-inf,10.68536439959622,0.007782101167315175,13.200340270996094
m31_1406p5,7.487875192703899,33,5.7262556104739355,1406.910445034504,0.5,-0.2,1+2,-inf,6.660898728254912,0.0038910505836575876,6.82798957824707
m31_1412p5,6.436980951486234,17,5.085963385294738,1412.8353962674737,0.5,0.0,2+3,-inf,6.0397351031534745,0.12840466926070038,6.818726062774658
m31_1418p5,6.84769963000138,17,5.3396860646311675,1418.4082181602716,1.0,-0.2,2+3,-inf,7.851612610596558,0.027237354085603113,6.9518513679504395
m31_1425p0,10.439278259681986,33,5.4312006969146305,1425.3519421443343,0.25,-0.1,1+2+3,6.433123265631613,10.9165339299955,0.0038910505836575876,10.20212173461914
