window,on_max_snr,spectral_width_channels,one_channel_max_snr,frequency_mhz,scale,phase_cycles,active_epochs,off_same_hypothesis_snr,off_global_max_snr,empirical_window_p,null_99th_percentile
m11_1400p5,105.89519633814227,9,49.41947671367971,1400.9262421280146,0.25,-0.2,2+3,4.742081179148168,105.89844400570112,0.0038910505836575876,9.3157377243042
m11_1406p5,12.176960095619815,9,5.375906729066642,1406.707600183785,0.25,0.1,1+2+3,17.05948207774941,32.209177296075985,0.0038910505836575876,7.114508152008057
m11_1412p5,8.292598795488711,5,5.223304117376701,1412.5622887164354,0.25,0.1,2+3,-inf,14.83031610971259,0.0038910505836575876,6.596678256988525
m11_1418p5,5.761961071833213,9,5.339050152980835,1418.2427901253104,0.75,0.0,2+3,-inf,5.923073751385596,0.6186770428015564,6.675120830535889
m11_1425p0,45.31154949269361,1,45.31154949269361,1425.0635404139757,0.25,0.1,1+2,-inf,26.42819417139805,0.0038910505836575876,10.159133911132812
