best_free_drift_hz_s,best_free_frequency_mhz,best_free_snr,best_stationary_frequency_mhz,best_stationary_offset_from_prediction_hz,best_stationary_snr,candidate_ordinal,candidate_track_snr,epoch,kind,predicted_drift_hz_s,predicted_end_mhz,predicted_mid_mhz,predicted_start_mhz,rest_frequency_mhz,scan,width_channels,window_id
0.0,1424.9832783825696,32.040103912353516,1424.9832783825696,-0.17492698134446982,32.040103912353516,1,32.04010772705078,1,on,-0.0030962641653143963,1424.9832781024963,1424.9832785574965,1424.9832789502664,1425.0635404139757,epoch1_on,1,m11_1425p0
0.0,1424.9832755886018,15.2118501663208,1424.9832755886018,-1.6259605217783246,15.2118501663208,1,12.216660499572754,1,off,-0.0048638790930754915,1424.9832765186356,1424.9832772145623,1424.983277850386,1425.0635404139757,epoch1_off,1,m11_1425p0
0.0,1424.9832755886018,56.79536056518555,1424.9832755886018,0.2956915068352828,56.79536056518555,1,56.79535675048828,2,on,-0.0065646415302680556,1424.9832743652228,1424.9832752929103,1424.983276162649,1425.0635404139757,epoch2_on,1,m11_1425p0
-0.010204255741040042,1424.9832755886018,38.06927490234375,1424.983272794634,-0.007442395144607872,23.082462310791016,1,23.082462310791016,2,off,-0.008207669537441158,1424.9832716505503,1424.9832728020765,1424.9832738978444,1425.0635404139757,epoch2_off,1,m11_1425p0
0.0,1424.983272794634,35.961097717285156,1424.983272794634,3.0263734061009018,35.961097717285156,1,-0.11868388950824738,3,on,-0.009786928420058362,1424.9832684016433,1424.9832697682607,1424.983271081345,1425.0635404139757,epoch3_on,1,m11_1425p0
-0.010204255741040042,1424.983272794634,26.985044479370117,1424.983272794634,6.547635848619393,19.250986099243164,1,-1.1011134386062622,3,off,-0.011288306775304513,1424.9832646759553,1424.9832662469983,1424.9832677667407,1425.0635404139757,epoch3_off,1,m11_1425p0
-0.44898725260576183,1399.9794465489686,15.988945960998535,1399.9793627299368,-33.25596071590553,6.587100982666016,2,3.944653034210205,1,on,-0.08729131752412363,1399.9793840020543,1399.9793959858976,1399.9794079027806,1400.0004581287503,epoch1_on,9,m11_1400p5
-0.020408511482080085,1399.9793236143887,14.045578956604004,1399.979320820421,-45.425710140989395,13.543533325195312,2,1.0352180004119873,1,off,-0.089196184175882,1399.979354002553,1399.9793662461311,1399.9793784248398,1400.0004581287503,epoch1_off,9,m11_1400p5
-0.06122553444624025,1399.9793487600982,17.447065353393555,1399.9793431721628,7.206464488263009,16.050058364868164,2,15.316140174865723,2,on,-0.09103476551697666,1399.9793234714732,1399.9793359656983,1399.9793483971712,1400.0004581287503,epoch2_on,9,m11_1400p5
-0.11224681315144046,1399.9793319962919,13.864288330078125,1399.9793180264533,13.041461897955742,12.114652633666992,2,11.177282333374023,2,off,-0.0928170656708534,1399.9792922478441,1399.9793049849914,1399.9793176615433,1400.0004581287503,epoch2_off,9,m11_1400p5
-0.15306383611560062,1399.979290086776,17.731950759887695,1399.9792565591633,-16.855037301866105,10.737785339355469,2,16.259645462036133,3,on,-0.09453660898758857,1399.9792604427373,1399.9792734142006,1399.9792863272546,1400.0004581287503,epoch3_on,9,m11_1400p5
0.1734723475976807,1399.979239795357,19.108308792114258,1399.979259353131,17.789954881664016,12.03383731842041,2,7.342681884765625,3,off,-0.0961780716446583,1399.9792283680915,1399.9792415631762,1399.9792547020481,1400.0004581287503,epoch3_off,9,m11_1400p5
0.1734723475976807,1400.8259545080364,55.279052734375,1400.8259936235845,-0.4676442131312797,45.72345733642578,3,9.392558097839355,1,on,-0.42355683055858123,1400.8259360689037,1400.8259940912287,1400.826052040528,1400.7872198820114,epoch1_on,9,m11_1400p5
0.1734723475976807,1400.825948920101,11.129720687866211,1400.8259461261332,95.12569613434607,8.143003463745117,3,0.8934769630432129,1,off,-0.4256370131002192,1400.8257926943797,1400.825851000437,1400.8259092355668,1400.7872198820114,epoch1_off,9,m11_1400p5
-0.8367489707652834,1400.825806427747,22.440265655517578,1400.8257309906185,23.344028249994153,8.586027145385742,3,8.124139785766602,2,on,-0.4276499237869373,1400.8256490660228,1400.8257076465902,1400.8257661583532,1400.7872198820114,epoch2_on,9,m11_1400p5
-0.29592341649016124,1400.8255102671683,49.23980712890625,1400.8254655636847,-97.63346065483347,21.123918533325195,3,1.7835034132003784,2,off,-0.4296068057354727,1400.8255043497647,1400.8255631971454,1400.8256219778975,1400.7872198820114,epoch2_off,9,m11_1400p5
-0.08163404592832034,1400.8254292421043,17.08726692199707,1400.8254264481366,8.349266408913536,13.238048553466797,3,2.9870805740356445,3,on,-0.43150046082662336,1400.8253589933379,1400.8254180988702,1400.8254771399613,1400.7872198820114,epoch3_on,9,m11_1400p5
