epoch1_on: eight native caches and all cropped baseline scores exact
epoch2_on: eight native caches and all cropped baseline scores exact
epoch3_on: eight native caches and all cropped baseline scores exact
20/150 ab_z176 {'neighbor9': 26, 'off_window': 26, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 26, 'centered_receiver_off_match': 26, 'centered_receiver_off_match_aggregate': 0, 'geometry_receiver': 26, 'geometry_receiver_off_aggregate': 0, 'geometry_receiver_aligned_off_aggregate': 0}
21/150 ab_z198 {'neighbor9': 5, 'off_window': 0, 'remaining_aggregate': 5, 'combined': 0, 'centered_receiver': 5, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0, 'geometry_receiver': 5, 'geometry_receiver_off_aggregate': 0, 'geometry_receiver_aligned_off_aggregate': 5}
22/150 ab_z260 {'neighbor9': 3, 'off_window': 3, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 3, 'centered_receiver_off_match': 3, 'centered_receiver_off_match_aggregate': 0, 'geometry_receiver': 3, 'geometry_receiver_off_aggregate': 0, 'geometry_receiver_aligned_off_aggregate': 0}
23/150 ab_z261 {'neighbor9': 29, 'off_window': 29, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 29, 'centered_receiver_off_match': 29, 'centered_receiver_off_match_aggregate': 0, 'geometry_receiver': 29, 'geometry_receiver_off_aggregate': 0, 'geometry_receiver_aligned_off_aggregate': 0}
24/150 ab_z262 {'neighbor9': 1, 'off_window': 1, 'remaining_aggregate': 1, 'combined': 1, 'centered_receiver': 1, 'centered_receiver_off_match': 1, 'centered_receiver_off_match_aggregate': 1, 'geometry_receiver': 1, 'geometry_receiver_off_aggregate': 1, 'geometry_receiver_aligned_off_aggregate': 1}
25/150 ab_z263 {'neighbor9': 0, 'off_window': 0, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 0, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0, 'geometry_receiver': 0, 'geometry_receiver_off_aggregate': 0, 'geometry_receiver_aligned_off_aggregate': 0}
26/150 ab_z264 {'neighbor9': 1, 'off_window': 1, 'remaining_aggregate': 1, 'combined': 1, 'centered_receiver': 1, 'centered_receiver_off_match': 1, 'centered_receiver_off_match_aggregate': 1, 'geometry_receiver': 1, 'geometry_receiver_off_aggregate': 1, 'geometry_receiver_aligned_off_aggregate': 1}
27/150 ab_z265 {'neighbor9': 3, 'off_window': 3, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 3, 'centered_receiver_off_match': 3, 'centered_receiver_off_match_aggregate': 0, 'geometry_receiver': 3, 'geometry_receiver_off_aggregate': 0, 'geometry_receiver_aligned_off_aggregate': 0}
28/150 ab_z266 {'neighbor9': 5, 'off_window': 5, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 5, 'centered_receiver_off_match': 5, 'centered_receiver_off_match_aggregate': 0, 'geometry_receiver': 5, 'geometry_receiver_off_aggregate': 0, 'geometry_receiver_aligned_off_aggregate': 0}
29/150 ab_z268 {'neighbor9': 0, 'off_window': 0, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 0, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0, 'geometry_receiver': 0, 'geometry_receiver_off_aggregate': 0, 'geometry_receiver_aligned_off_aggregate': 0}
30/150 ab_z278 {'neighbor9': 9, 'off_window': 0, 'remaining_aggregate': 9, 'combined': 0, 'centered_receiver': 9, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0, 'geometry_receiver': 9, 'geometry_receiver_off_aggregate': 0, 'geometry_receiver_aligned_off_aggregate': 9}
31/150 ab_z280 {'neighbor9': 47, 'off_window': 47, 'remaining_aggregate': 40, 'combined': 40, 'centered_receiver': 47, 'centered_receiver_off_match': 47, 'centered_receiver_off_match_aggregate': 40, 'geometry_receiver': 47, 'geometry_receiver_off_aggregate': 40, 'geometry_receiver_aligned_off_aggregate': 40}
32/150 ab_z281 {'neighbor9': 411, 'off_window': 411, 'remaining_aggregate': 34, 'combined': 34, 'centered_receiver': 488, 'centered_receiver_off_match': 488, 'centered_receiver_off_match_aggregate': 74, 'geometry_receiver': 439, 'geometry_receiver_off_aggregate': 61, 'geometry_receiver_aligned_off_aggregate': 61}
33/150 ab_z286 {'neighbor9': 0, 'off_window': 0, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 0, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0, 'geometry_receiver': 0, 'geometry_receiver_off_aggregate': 0, 'geometry_receiver_aligned_off_aggregate': 0}
34/150 ab_z318 {'neighbor9': 13, 'off_window': 0, 'remaining_aggregate': 13, 'combined': 0, 'centered_receiver': 13, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0, 'geometry_receiver': 13, 'geometry_receiver_off_aggregate': 0, 'geometry_receiver_aligned_off_aggregate': 13}
35/150 ab_z324 {'neighbor9': 2, 'off_window': 0, 'remaining_aggregate': 2, 'combined': 0, 'centered_receiver': 2, 'centered_receiver_off_match': 2, 'centered_receiver_off_match_aggregate': 2, 'geometry_receiver': 2, 'geometry_receiver_off_aggregate': 0, 'geometry_receiver_aligned_off_aggregate': 2}
36/150 ab_z336 {'neighbor9': 1, 'off_window': 0, 'remaining_aggregate': 1, 'combined': 0, 'centered_receiver': 1, 'centered_receiver_off_match': 1, 'centered_receiver_off_match_aggregate': 1, 'geometry_receiver': 1, 'geometry_receiver_off_aggregate': 0, 'geometry_receiver_aligned_off_aggregate': 1}
37/150 ab_z346 {'neighbor9': 1, 'off_window': 0, 'remaining_aggregate': 1, 'combined': 0, 'centered_receiver': 1, 'centered_receiver_off_match': 1, 'centered_receiver_off_match_aggregate': 1, 'geometry_receiver': 1, 'geometry_receiver_off_aggregate': 0, 'geometry_receiver_aligned_off_aggregate': 1}
38/150 ab_fresh032 {'neighbor9': 310, 'off_window': 310, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 435, 'centered_receiver_off_match': 435, 'centered_receiver_off_match_aggregate': 1, 'geometry_receiver': 310, 'geometry_receiver_off_aggregate': 0, 'geometry_receiver_aligned_off_aggregate': 0}
39/150 new000 {'neighbor9': 17, 'off_window': 17, 'remaining_aggregate': 12, 'combined': 12, 'centered_receiver': 17, 'centered_receiver_off_match': 17, 'centered_receiver_off_match_aggregate': 12, 'geometry_receiver': 17, 'geometry_receiver_off_aggregate': 12, 'geometry_receiver_aligned_off_aggregate': 12}
40/150 new001 {'neighbor9': 588, 'off_window': 588, 'remaining_aggregate': 19, 'combined': 19, 'centered_receiver': 588, 'centered_receiver_off_match': 588, 'centered_receiver_off_match_aggregate': 19, 'geometry_receiver': 588, 'geometry_receiver_off_aggregate': 19, 'geometry_receiver_aligned_off_aggregate': 19}
41/150 new002 {'neighbor9': 3, 'off_window': 3, 'remaining_aggregate': 3, 'combined': 3, 'centered_receiver': 3, 'centered_receiver_off_match': 3, 'centered_receiver_off_match_aggregate': 3, 'geometry_receiver': 3, 'geometry_receiver_off_aggregate': 3, 'geometry_receiver_aligned_off_aggregate': 3}
42/150 new003 {'neighbor9': 3, 'off_window': 0, 'remaining_aggregate': 3, 'combined': 0, 'centered_receiver': 3, 'centered_receiver_off_match': 3, 'centered_receiver_off_match_aggregate': 3, 'geometry_receiver': 3, 'geometry_receiver_off_aggregate': 0, 'geometry_receiver_aligned_off_aggregate': 3}
43/150 new004 {'neighbor9': 249, 'off_window': 249, 'remaining_aggregate': 9, 'combined': 9, 'centered_receiver': 258, 'centered_receiver_off_match': 258, 'centered_receiver_off_match_aggregate': 12, 'geometry_receiver': 249, 'geometry_receiver_off_aggregate': 9, 'geometry_receiver_aligned_off_aggregate': 9}
44/150 new005 {'neighbor9': 1, 'off_window': 1, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 1, 'centered_receiver_off_match': 1, 'centered_receiver_off_match_aggregate': 0, 'geometry_receiver': 1, 'geometry_receiver_off_aggregate': 0, 'geometry_receiver_aligned_off_aggregate': 0}
45/150 new006 {'neighbor9': 0, 'off_window': 0, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 0, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0, 'geometry_receiver': 0, 'geometry_receiver_off_aggregate': 0, 'geometry_receiver_aligned_off_aggregate': 0}
46/150 new007 {'neighbor9': 15, 'off_window': 15, 'remaining_aggregate': 13, 'combined': 13, 'centered_receiver': 15, 'centered_receiver_off_match': 15, 'centered_receiver_off_match_aggregate': 13, 'geometry_receiver': 15, 'geometry_receiver_off_aggregate': 13, 'geometry_receiver_aligned_off_aggregate': 13}
47/150 new008 {'neighbor9': 10, 'off_window': 10, 'remaining_aggregate': 10, 'combined': 10, 'centered_receiver': 10, 'centered_receiver_off_match': 10, 'centered_receiver_off_match_aggregate': 10, 'geometry_receiver': 10, 'geometry_receiver_off_aggregate': 10, 'geometry_receiver_aligned_off_aggregate': 10}
48/150 new009 {'neighbor9': 2, 'off_window': 2, 'remaining_aggregate': 2, 'combined': 2, 'centered_receiver': 2, 'centered_receiver_off_match': 2, 'centered_receiver_off_match_aggregate': 2, 'geometry_receiver': 2, 'geometry_receiver_off_aggregate': 2, 'geometry_receiver_aligned_off_aggregate': 2}
49/150 new010 {'neighbor9': 2, 'off_window': 1, 'remaining_aggregate': 2, 'combined': 1, 'centered_receiver': 2, 'centered_receiver_off_match': 2, 'centered_receiver_off_match_aggregate': 2, 'geometry_receiver': 2, 'geometry_receiver_off_aggregate': 1, 'geometry_receiver_aligned_off_aggregate': 2}
50/150 new011 {'neighbor9': 0, 'off_window': 0, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 0, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0, 'geometry_receiver': 0, 'geometry_receiver_off_aggregate': 0, 'geometry_receiver_aligned_off_aggregate': 0}
51/150 new012 {'neighbor9': 0, 'off_window': 0, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 0, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0, 'geometry_receiver': 0, 'geometry_receiver_off_aggregate': 0, 'geometry_receiver_aligned_off_aggregate': 0}
52/150 new013 {'neighbor9': 0, 'off_window': 0, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 0, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0, 'geometry_receiver': 0, 'geometry_receiver_off_aggregate': 0, 'geometry_receiver_aligned_off_aggregate': 0}
53/150 new014 {'neighbor9': 17, 'off_window': 17, 'remaining_aggregate': 7, 'combined': 7, 'centered_receiver': 17, 'centered_receiver_off_match': 17, 'centered_receiver_off_match_aggregate': 7, 'geometry_receiver': 17, 'geometry_receiver_off_aggregate': 7, 'geometry_receiver_aligned_off_aggregate': 7}
54/150 new015 {'neighbor9': 430, 'off_window': 430, 'remaining_aggregate': 61, 'combined': 61, 'centered_receiver': 537, 'centered_receiver_off_match': 537, 'centered_receiver_off_match_aggregate': 111, 'geometry_receiver': 430, 'geometry_receiver_off_aggregate': 61, 'geometry_receiver_aligned_off_aggregate': 61}
55/150 new016 {'neighbor9': 5, 'off_window': 5, 'remaining_aggregate': 5, 'combined': 5, 'centered_receiver': 5, 'centered_receiver_off_match': 5, 'centered_receiver_off_match_aggregate': 5, 'geometry_receiver': 5, 'geometry_receiver_off_aggregate': 5, 'geometry_receiver_aligned_off_aggregate': 5}
56/150 new017 {'neighbor9': 2, 'off_window': 1, 'remaining_aggregate': 2, 'combined': 1, 'centered_receiver': 2, 'centered_receiver_off_match': 2, 'centered_receiver_off_match_aggregate': 2, 'geometry_receiver': 2, 'geometry_receiver_off_aggregate': 1, 'geometry_receiver_aligned_off_aggregate': 2}
57/150 new018 {'neighbor9': 249, 'off_window': 249, 'remaining_aggregate': 9, 'combined': 9, 'centered_receiver': 258, 'centered_receiver_off_match': 258, 'centered_receiver_off_match_aggregate': 12, 'geometry_receiver': 249, 'geometry_receiver_off_aggregate': 9, 'geometry_receiver_aligned_off_aggregate': 9}
58/150 new019 {'neighbor9': 0, 'off_window': 0, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 0, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0, 'geometry_receiver': 0, 'geometry_receiver_off_aggregate': 0, 'geometry_receiver_aligned_off_aggregate': 0}
59/150 new020 {'neighbor9': 0, 'off_window': 0, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 0, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0, 'geometry_receiver': 0, 'geometry_receiver_off_aggregate': 0, 'geometry_receiver_aligned_off_aggregate': 0}
60/150 new021 {'neighbor9': 7, 'off_window': 7, 'remaining_aggregate': 5, 'combined': 5, 'centered_receiver': 7, 'centered_receiver_off_match': 7, 'centered_receiver_off_match_aggregate': 5, 'geometry_receiver': 7, 'geometry_receiver_off_aggregate': 5, 'geometry_receiver_aligned_off_aggregate': 5}
61/150 new022 {'neighbor9': 0, 'off_window': 0, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 0, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0, 'geometry_receiver': 0, 'geometry_receiver_off_aggregate': 0, 'geometry_receiver_aligned_off_aggregate': 0}
62/150 new023 {'neighbor9': 0, 'off_window': 0, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 0, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0, 'geometry_receiver': 0, 'geometry_receiver_off_aggregate': 0, 'geometry_receiver_aligned_off_aggregate': 0}
63/150 new024 {'neighbor9': 0, 'off_window': 0, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 0, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0, 'geometry_receiver': 0, 'geometry_receiver_off_aggregate': 0, 'geometry_receiver_aligned_off_aggregate': 0}
64/150 new025 {'neighbor9': 0, 'off_window': 0, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 0, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0, 'geometry_receiver': 0, 'geometry_receiver_off_aggregate': 0, 'geometry_receiver_aligned_off_aggregate': 0}
65/150 new026 {'neighbor9': 0, 'off_window': 0, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 0, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0, 'geometry_receiver': 0, 'geometry_receiver_off_aggregate': 0, 'geometry_receiver_aligned_off_aggregate': 0}
66/150 new027 {'neighbor9': 0, 'off_window': 0, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 0, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0, 'geometry_receiver': 0, 'geometry_receiver_off_aggregate': 0, 'geometry_receiver_aligned_off_aggregate': 0}
67/150 new028 {'neighbor9': 17, 'off_window': 17, 'remaining_aggregate': 8, 'combined': 8, 'centered_receiver': 17, 'centered_receiver_off_match': 17, 'centered_receiver_off_match_aggregate': 8, 'geometry_receiver': 17, 'geometry_receiver_off_aggregate': 8, 'geometry_receiver_aligned_off_aggregate': 8}
68/150 new029 {'neighbor9': 148, 'off_window': 148, 'remaining_aggregate': 14, 'combined': 14, 'centered_receiver': 457, 'centered_receiver_off_match': 457, 'centered_receiver_off_match_aggregate': 202, 'geometry_receiver': 148, 'geometry_receiver_off_aggregate': 14, 'geometry_receiver_aligned_off_aggregate': 14}
69/150 new030 {'neighbor9': 5, 'off_window': 5, 'remaining_aggregate': 5, 'combined': 5, 'centered_receiver': 5, 'centered_receiver_off_match': 5, 'centered_receiver_off_match_aggregate': 5, 'geometry_receiver': 5, 'geometry_receiver_off_aggregate': 5, 'geometry_receiver_aligned_off_aggregate': 5}
70/150 new031 {'neighbor9': 3, 'off_window': 2, 'remaining_aggregate': 3, 'combined': 2, 'centered_receiver': 3, 'centered_receiver_off_match': 3, 'centered_receiver_off_match_aggregate': 3, 'geometry_receiver': 3, 'geometry_receiver_off_aggregate': 2, 'geometry_receiver_aligned_off_aggregate': 3}
71/150 new032 {'neighbor9': 155, 'off_window': 155, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 272, 'centered_receiver_off_match': 272, 'centered_receiver_off_match_aggregate': 17, 'geometry_receiver': 155, 'geometry_receiver_off_aggregate': 0, 'geometry_receiver_aligned_off_aggregate': 0}
72/150 new033 {'neighbor9': 0, 'off_window': 0, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 0, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0, 'geometry_receiver': 0, 'geometry_receiver_off_aggregate': 0, 'geometry_receiver_aligned_off_aggregate': 0}
73/150 new034 {'neighbor9': 0, 'off_window': 0, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 0, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0, 'geometry_receiver': 0, 'geometry_receiver_off_aggregate': 0, 'geometry_receiver_aligned_off_aggregate': 0}
74/150 new035 {'neighbor9': 8, 'off_window': 8, 'remaining_aggregate': 6, 'combined': 6, 'centered_receiver': 8, 'centered_receiver_off_match': 8, 'centered_receiver_off_match_aggregate': 6, 'geometry_receiver': 8, 'geometry_receiver_off_aggregate': 6, 'geometry_receiver_aligned_off_aggregate': 6}
75/150 new036 {'neighbor9': 10, 'off_window': 10, 'remaining_aggregate': 6, 'combined': 6, 'centered_receiver': 10, 'centered_receiver_off_match': 10, 'centered_receiver_off_match_aggregate': 6, 'geometry_receiver': 10, 'geometry_receiver_off_aggregate': 6, 'geometry_receiver_aligned_off_aggregate': 6}
76/150 new037 {'neighbor9': 1, 'off_window': 1, 'remaining_aggregate': 1, 'combined': 1, 'centered_receiver': 1, 'centered_receiver_off_match': 1, 'centered_receiver_off_match_aggregate': 1, 'geometry_receiver': 1, 'geometry_receiver_off_aggregate': 1, 'geometry_receiver_aligned_off_aggregate': 1}
77/150 new038 {'neighbor9': 1, 'off_window': 0, 'remaining_aggregate': 1, 'combined': 0, 'centered_receiver': 1, 'centered_receiver_off_match': 1, 'centered_receiver_off_match_aggregate': 1, 'geometry_receiver': 1, 'geometry_receiver_off_aggregate': 0, 'geometry_receiver_aligned_off_aggregate': 0}
78/150 new039 {'neighbor9': 0, 'off_window': 0, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 0, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0, 'geometry_receiver': 0, 'geometry_receiver_off_aggregate': 0, 'geometry_receiver_aligned_off_aggregate': 0}
79/150 new040 {'neighbor9': 0, 'off_window': 0, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 0, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0, 'geometry_receiver': 0, 'geometry_receiver_off_aggregate': 0, 'geometry_receiver_aligned_off_aggregate': 0}
