window,on_max_snr,spectral_width_channels,one_channel_max_snr,frequency_mhz,scale,phase_cycles,active_epochs,off_same_hypothesis_snr,off_global_max_snr,empirical_window_p,null_99th_percentile
m32_1400p5,3388.131144481915,33,5.4572966768134235,1400.1677697332489,1.0,0.1,1+3,-inf,8289.789827395334,0.0038910505836575876,10.369598388671875
m32_1406p5,1961.3011812829711,33,5.569019880020889,1406.112295944,0.75,0.1,1+2,4736.869311999603,2957.626375052239,0.0038910505836575876,6.887650012969971
m32_1412p5,8.034787534671937,33,5.354928388101436,1412.5569397399602,0.25,0.2,2+3,-inf,8.685347406497964,0.0038910505836575876,7.4550323486328125
m32_1418p5,505.3503217783808,33,50.86765052070894,1418.0036394522795,0.25,0.1,1+3,-inf,909.0417867832989,0.0038910505836575876,7.393455505371094
m32_1425p0,31.68056545290617,17,11.540198245036969,1424.9880993920733,0.5,0.2,1+2,-inf,14.394206146605754,0.0038910505836575876,10.60802936553955
