window,on_max_snr,spectral_width_channels,one_channel_max_snr,frequency_mhz,scale,phase_cycles,active_epochs,off_same_hypothesis_snr,off_global_max_snr,empirical_window_p,null_99th_percentile
m20_1400p5,69174.59102609807,1,69174.59102609807,1400.459812409782,0.75,0.1,1+2+3,70758.54472379635,70758.54472379635,0.0038910505836575876,7.749147415161133
m20_1406p5,65873.09921216778,1,65873.09921216778,1406.319477673659,0.75,0.1,1+2+3,66228.31171001222,66228.31171001222,0.0038910505836575876,6.348083972930908
m20_1412p5,59238.48535959867,1,59238.48535959867,1412.1791429632651,0.75,0.1,1+2+3,59176.26008117207,59176.26008117207,0.0038910505836575876,6.565622806549072
m20_1418p5,49186.77859253104,1,49186.77859253104,1418.0388082014133,0.75,0.1,1+2,49622.09672897073,49622.09672897073,0.0038910505836575876,6.414264678955078
m20_1425p0,89.7777829098646,5,46.730931270218505,1424.915099356078,0.5,-0.2,1+2,-inf,94.5767188389548,0.0038910505836575876,7.907748699188232
