best_free_drift_hz_s,best_free_frequency_mhz,best_free_snr,best_stationary_frequency_mhz,best_stationary_offset_from_prediction_hz,best_stationary_snr,candidate_ordinal,candidate_track_snr,epoch,frozen_original_disposition,kind,predicted_drift_hz_s,predicted_end_mhz,predicted_mid_mhz,predicted_start_mhz,rest_frequency_mhz,scan,width_channels,window_id
0.16326809185664068,1425.1308823004365,6.2788214683532715,1425.130957737565,24.63762143634085,4.603006362915039,1,3.9688944816589355,1,rfi_family_veto_pending_manual_review,on,-0.13360949228948527,1425.1309148008486,1425.1309330999436,1425.130951383684,1425.2398816868663,epoch1_on,9,m29_1425p0
-0.25510639352600106,1425.1307873055339,5.744943618774414,1425.1308823004365,-4.898502993455622,4.123909950256348,1,3.639035701751709,1,rfi_family_veto_pending_manual_review,off,-0.13402252963684028,1425.1308688446106,1425.1308871989395,1425.1309055405375,1425.2398816868663,epoch1_off,9,m29_1425p0
0.5408255542751222,1425.1307426020503,6.198169708251953,1425.130756571889,-84.73198340652743,5.450882434844971,1,4.419974327087402,2,rfi_family_veto_pending_manual_review,on,-0.13435739746911285,1425.130822905012,1425.1308413038723,1425.1308596926272,1425.2398816868663,epoch2_on,9,m29_1425p0
0.46939576408784195,1425.130857154727,5.531445503234863,1425.1307733356953,-22.240987163968384,3.6643497943878174,1,1.0644347667694092,2,rfi_family_veto_pending_manual_review,off,-0.13461391641462003,1425.1307771440117,1425.1307955766824,1425.1308140018627,1425.2398816868663,epoch2_off,9,m29_1425p0
-0.4183744853826417,1425.130695104599,6.5503249168396,1425.1306978985667,-51.87668034523085,4.211428642272949,1,4.744029998779297,3,rfi_family_veto_pending_manual_review,on,-0.13479411187861493,1425.1307313192171,1425.130749775247,1425.1307682264064,1425.2398816868663,epoch3_on,9,m29_1425p0
0.030612767223120126,1425.1307230442762,6.872867107391357,1425.1307286322117,24.706675503693987,6.050727367401123,1,4.505276679992676,3,rfi_family_veto_pending_manual_review,off,-0.13489787258422023,1425.130685456613,1425.1307039255362,1425.1307223922124,1425.2398816868663,epoch3_off,9,m29_1425p0
0.16326809185664068,1425.1308823004365,6.2788214683532715,1425.130957737565,23.233378669829108,4.603006362915039,2,4.44388484954834,1,rfi_family_veto_pending_manual_review,on,-0.1341701242974622,1425.1309161283395,1425.1309345041864,1425.1309528646784,1425.223282724619,epoch1_on,9,m29_1425p0
0.724502157613843,1425.1309605315328,5.605842113494873,1425.1308823004365,-6.1104474298190325,4.123909950256348,2,3.3680405616760254,1,rfi_family_veto_pending_manual_review,off,-0.1345831716099107,1425.1308699798021,1425.130888410884,1425.130906829235,1425.223282724619,epoch1_off,9,m29_1425p0
0.5408255542751222,1425.1307426020503,6.198169708251953,1425.130756571889,-85.75218771511572,5.450882434844971,2,4.567091941833496,2,rfi_family_veto_pending_manual_review,on,-0.13491804525515447,1425.1308238484621,1425.1308423240766,1425.1308607895849,1425.223282724619,epoch2_on,9,m29_1425p0
0.46939576408784195,1425.130857154727,5.531445503234863,1425.1307733356953,-23.070569113770034,3.6643497943878174,2,1.182946801185608,2,rfi_family_veto_pending_manual_review,off,-0.1351745733353307,1425.1307778968383,1425.1307964062644,1425.1308149081995,1425.223282724619,epoch2_off,9,m29_1425p0
-0.4183744853826417,1425.130695104599,6.5503249168396,1425.1306978985667,-52.51563743513543,4.211428642272949,2,4.5763654708862305,3,rfi_family_veto_pending_manual_review,on,-0.13535477793399464,1425.1307318814177,1425.1307504142042,1425.1307689421196,1425.223282724619,epoch3_on,9,m29_1425p0
0.030612767223120126,1425.1307230442762,6.872867107391357,1425.1307286322117,24.258346456917934,6.050727367401123,2,4.692978858947754,3,rfi_family_veto_pending_manual_review,off,-0.13545854860469342,1425.1306858281841,1425.1307043738652,1425.130722917299,1425.223282724619,epoch3_off,9,m29_1425p0
