sample_midpoint_s,bin_00,bin_01,bin_02,bin_03,bin_04,bin_05,bin_06,bin_07,bin_08,bin_09,bin_10,bin_11,bin_12,bin_13,bin_14,bin_15,bin_16,bin_17,bin_18,bin_19,bin_20,bin_21,bin_22,bin_23,bin_24,bin_25,bin_26,bin_27,bin_28,bin_29,bin_30,bin_31,bin_32,bin_33,bin_34,bin_35,bin_36,bin_37,bin_38,bin_39,bin_40,bin_41,bin_42,bin_43,bin_44,bin_45,bin_46,bin_47,bin_48,bin_49,bin_50,bin_51,bin_52,bin_53,bin_54,bin_55,bin_56,bin_57,bin_58,bin_59,bin_60,bin_61,bin_62,bin_63
0.5368709119999999,-0.1831470896223826,-0.10577549115155957,-0.12929852589461785,-0.1873883771601998,-0.11726183680938058,-0.1588398727056171,-0.08945937164077934,-0.10309833124379761,-0.16047869044372678,-0.10676718688669748,-0.1592223512832009,-0.20383315068569832,-0.1266043458266982,-0.17180878757166543,-0.17114664994213463,-0.20175090029702655,-0.13785219017154304,-0.14015581893701373,-0.1238123702725196,-0.2372739554526301,-0.15311158174050174,-0.20673802964821725,-0.23059520301155448,-0.20738777705784223,-0.14852878169040196,-0.16501021241440736,-0.1844232170884165,-0.1980651307302261,-0.2279249782856953,-0.2749170304118057,-0.21589655789180792,-0.2202752236210342,-0.1615835473099391,-0.190153226223109,-0.16876005384464016,-0.23630494560971524,-0.257980913418578,-0.16661373447693353,-0.18920710840237526,-0.23667153351042153,-0.18500628956826404,-0.17245380063000734,-0.2132598145648704,-0.24177926917244413,-0.18900761079774903,-0.26261432305909693,-0.1847983026319915,-0.15800109716864036,-0.19688056419389405,-0.20734822651970067,-0.24169348219792092,-0.17967326136671805,-0.22434503969270736,-0.2061837028096696,-0.19911733164917678,-0.19956032396294177,-0.18933431372196147,-0.23040271659348427,-0.26857655086288496,-0.21648551305822497,-0.1925678543484537,-0.19086560056478316,-0.2674115435220301,-0.22569826594553888
1.6106127359999998,-0.18919334008491465,-0.2195437185499551,-0.19787317797038537,-0.22043588933385244,-0.1865691119258242,-0.22867569946018712,-0.1780578763032931,-0.1631043834994281,-0.2154127003533566,-0.18250172770681924,-0.22409312602914205,-0.15374377650108986,-0.17671943941552723,-0.20890156267809548,-0.19407491765949608,-0.21070757105813495,-0.20005298975593178,-0.26313940870542346,-0.20740054574811698,-0.19720330249089915,-0.22353305393231235,-0.14489368074074654,-0.2328461575203359,-0.17660302111263654,-0.24184769109706394,-0.1960186198879715,-0.17676416924639074,-0.227768181582048,-0.2260936553772938,-0.31630655534848173,-0.2142692765836338,-0.23783230818142848,-0.21819112153441114,-0.25896380838405875,-0.24873364719886532,-0.24627501454129483,-0.21842715193633921,-0.19214024316586023,-0.24700021901142982,-0.28592656187746407,-0.2688570458558388,-0.25588924665394835,-0.22515080708711008,-0.26763391633202055,-0.19065809321390198,-0.2491464300546795,-0.27142723141254727,-0.2317515632769625,-0.28263056288259186,-0.27994407615291755,-0.31289093235890114,-0.25791699381911065,-0.26533165213186294,-0.24562923715815746,-0.27933911874424666,-0.22159218252636492,-0.3028262512400813,-0.2854142274424833,-0.30258648433456464,-0.26184674879602554,-0.3223169140255777,-0.28288830266267595,-0.2952760891057551,-0.2968463187571615
2.6843545599999996,-0.29280564381874036,-0.25515782162879724,-0.248581680501437,-0.20496054169572225,-0.24457982419179253,-0.2610042753097202,-0.28096560843239005,-0.23442441061238892,-0.2237020971162045,-0.1835314128464753,-0.2287532406751,-0.23476746958580666,-0.25362670162160483,-0.16691046296286263,-0.23194830499622704,-0.30991313949094285,-0.23822699311858742,-0.28817261445302783,-0.24202732768857718,-0.26373087774533943,-0.2686207043505939,-0.3150486844076243,-0.3041424470835149,-0.3546654451763191,-0.2738607050559949,-0.31382730459465946,-0.2853575586382898,-0.2950884092050338,-0.2999861593541157,-0.21344483800515132,-0.29400015982433353,-0.281207204230928,-0.2921730771818797,-0.3052411526108959,-0.3060483113243078,-0.28398812498822473,-0.2729748790443409,-0.31024875413692954,-0.30674635031235603,-0.32382748656008126,-0.32792539783986285,-0.3121342011207681,-0.3544785513326393,-0.3225341751115463,-0.32977378439889954,-0.35746486322022974,-0.2876465493256027,-0.33751276346655296,-0.3597401977588431,-0.3422584374867646,-0.343240306176345,-0.351173050127857,-0.3460105621488765,-0.295023785097458,-0.35562752082478255,-0.3134760952088982,-0.3224747435763545,-0.3618540253207487,-0.347146559140778,-0.3456060268550313,-0.35575348061684053,-0.35572920189172563,-0.3677849010564387,-0.3069960956927389
3.7580963839999995,-0.19644852175510355,-0.20276435539459012,-0.22925353332850915,-0.22381071922219625,-0.23702882466958336,-0.23995021604267613,-0.23513464339027582,-0.2692638619254077,-0.23327208477089048,-0.17763614094915933,-0.2298777568045937,-0.19636236411419564,-0.22253519037206257,-0.3134965234868495,-0.2537822612378347,-0.2746543098972844,-0.22702647570258705,-0.18788864898462115,-0.24569985297525168,-0.29244711409825996,-0.24631107324135623,-0.2646294432176676,-0.23574096140198111,-0.2773968447124519,-0.20670737043838017,-0.2704391465116974,-0.35120811453504885,-0.29067638399179224,-0.2522562499341023,-0.32328920968159636,-0.32837257894321475,-0.32285195625653224,-0.3102866009035746,-0.3055976479912975,-0.322679020495603,-0.2786037692047622,-0.260467827814864,-0.28330706726826194,-0.27640263893616585,-0.27388085059854866,-0.28451634832890704,-0.2703335829490762,-0.31058226365296704,-0.28993010659386137,-0.214101821899281,-0.2906259431038052,-0.3381315344387466,-0.3271299025675814,-0.3134634197761313,-0.3443314572297303,-0.33844964245716774,-0.3512910077198675,-0.3662095927866176,-0.41750578687892165,-0.2896263737929985,-0.3761935329530388,-0.3336531178668208,-0.316130110220651,-0.3526748303390507,-0.3175007679133809,-0.35145026368263643,-0.31825403318673906,-0.319649709854275,-0.3606065397616476
4.831838207999999,-0.179039316318397,-0.19953981861804745,-0.2721371678957699,-0.2792942094508492,-0.20818996666119866,-0.22660114489761846,-0.22678415186653314,-0.20047297909955628,-0.22270190137455106,-0.17016069031420297,-0.22881578084863058,-0.20671014767971688,-0.2401977900548705,-0.20541410981344857,-0.22574964545700432,-0.19689975276456348,-0.2841903847802314,-0.20420014548082172,-0.22384594407880545,-0.2080182970644923,-0.2481502043582233,-0.19387226276532082,-0.20884959575466513,-0.28836368211861035,-0.21574738339404576,-0.29214170431389774,-0.23436097195787756,-0.2876307356553817,-0.2219920064505589,-0.26985027797802885,-0.2748177758102039,-0.29215797818531947,-0.27796815784365336,-0.2302376329566219,-0.30039129409332027,-0.2869721421219375,-0.2707708482921589,-0.29133342873371604,-0.26642511942398933,-0.275186520144676,-0.2869134981301613,-0.27332740504685454,-0.2994465960904823,-0.23611548681427458,-0.3221767551897626,-0.31030206219293177,-0.2791204625183517,-0.29235208245726035,-0.2624202967693106,-0.20262305340397038,-0.2587082538978263,-0.2846420178040197,-0.22172003623563796,-0.32211725519404616,-0.30225475027691573,-0.28365756035782397,-0.32807790801078746,-0.27544695992920815,-0.2814604822612767,-0.2756894507079518,-0.31927716654899996,-0.27598334298402605,-0.32465277472510934,-0.24921895912848413
5.905580032,-0.2625754494885249,-0.26752885505889673,-0.2013445971855877,-0.2623252439204537,-0.23742211101697258,-0.2407929214116718,-0.21231807477722345,-0.2781730277846301,-0.21428168731758238,-0.248092362648874,-0.21816620406545034,-0.24950534385529213,-0.3360997859521636,-0.29869555770086925,-0.25980379067394616,-0.22278017893300525,-0.24985581461078255,-0.25637061583776294,-0.26148271587693933,-0.2576414288165064,-0.26457328074944336,-0.24192893974915414,-0.2615391331606328,-0.3159465957557716,-0.30871189848403446,-0.2915800795485016,-0.26216393104238833,-0.30401500942285303,-0.21886605575647472,-0.2624009788809677,-0.2509803733472446,-0.24476926065316157,-0.2603426471510569,-0.2556874304677227,-0.2914261296703314,-0.23282612051739957,-0.2447706167877186,-0.26909505497730735,-0.29602663376343635,-0.28011251620981575,-0.25953186937840655,-0.27112701017800384,-0.2715397312089668,-0.25276477773357847,-0.24459949207292603,-0.21771251992322505,-0.2294321977907592,-0.28489589902372764,-0.26754888902204194,-0.18234728178608098,-0.180810690321128,-0.22328724654757284,-0.24609581765253097,-0.21462915943370067,-0.2825159867061302,-0.20647289813496172,-0.31676098272354075,-0.2317899997994703,-0.22612195052871747,-0.26496293922952774,-0.2232278428709833,-0.1781534795549565,-0.24011187115684152,-0.2794024234171957
6.9793218559999985,-0.25954151346481275,-0.2336092226240518,-0.18760930284354668,-0.18702039298451772,-0.2147133523051577,-0.23384671531883733,-0.16671077616462884,-0.22075000241498596,-0.27329335528442505,-0.19579480028811044,-0.28395725962556234,-0.22043553274956398,-0.2715188387914428,-0.20394162176775613,-0.2002551742646444,-0.26749737158284653,-0.14493246201163856,-0.19952161299962817,-0.17380189922654868,-0.234594011414239,-0.2169771986581119,-0.16658193342820077,-0.213524924486202,-0.20514826664085767,-0.1761439563415479,-0.2692887768675324,-0.21069166949434606,-0.22471673669393308,-0.24095610335435985,-0.24721782811268764,-0.2236921748761753,-0.23494038022389369,-0.22212176473528547,-0.17712624367725635,-0.22298377010364284,-0.1503844627357986,-0.24237310935859568,-0.20997723113811975,-0.20518675603878883,-0.2344852500412214,-0.15197770186932757,-0.2491913535112482,-0.19990384418217996,-0.2222974910276077,-0.2121411867140393,-0.22573555842973292,-0.1659522676283294,-0.20273478540392326,-0.2568680943061606,-0.17992308637725987,-0.18103845456997597,-0.16401695402704977,-0.2075847351225093,-0.2130639563630601,-0.18720351054798812,-0.2311909592244774,-0.22061238750965068,-0.15702415366623818,-0.21052433886299177,-0.21436054786733752,-0.24645981115463655,-0.158950889566248,-0.15542171755805612,-0.17002773634158075
8.05306368,-0.2967136819580836,-0.29462840482925196,-0.25112529381606563,-0.2403022366467797,-0.28029021857426933,-0.33306444309917943,-0.3333452165866869,-0.32354819610814695,-0.2834187837226117,-0.2118386570281083,-0.318581538170942,-0.25834042114105876,-0.2938028697057494,-0.2712294393651454,-0.30887271843883873,-0.2636592198895024,-0.2566307765591773,-0.24676112520475207,-0.2912451627572799,-0.27222272168416695,-0.25763497227204163,-0.2652503149999705,-0.28680810508064625,-0.2737003732597389,-0.2985973776958417,-0.28098559235825504,-0.31820168486280764,-0.262618182917192,-0.2501161600646031,-0.24519635148629146,-0.287039499605141,-0.2929412130199905,-0.33648057730585734,-0.29869307574283865,-0.2702331319763159,-0.22825293924584653,-0.2692452674091328,-0.25453942190922263,-0.25162160553944496,-0.22023483745787026,-0.2346190203097649,-0.31095000584069304,-0.23364496070592264,-0.3204115046994827,-0.29069328379617737,-0.261725319782272,-0.2717005783134872,-0.2864819786212008,-0.248948007922341,-0.2591687580071656,-0.2481898669377967,-0.282354451142185,-0.2553345524938777,-0.3220102946589967,-0.2774820168269798,-0.2834046280477196,-0.3159844236090846,-0.23640788455460487,-0.2815819565273289,-0.26219644924692276,-0.2530619196331827,-0.26384441004068193,-0.2563973353244364,-0.25458900979720056
9.126805503999998,-0.22570952966010996,-0.24662704095577023,-0.23164981886241418,-0.27096308943665853,-0.22205423055337242,-0.2723637881156589,-0.23541728861580072,-0.2052123232195819,-0.21257148104736448,-0.3048758003777558,-0.22289133247769705,-0.21000021976319008,-0.24652014413316334,-0.20690641640352883,-0.20053963743183495,-0.20709907606111042,-0.27622827712184517,-0.16547125267762958,-0.16438360539281607,-0.2569414616705866,-0.26427567475807984,-0.21244262628689675,-0.25792706188492176,-0.2252268362915077,-0.25923667565803044,-0.16942758714451753,-0.2279637842480692,-0.16694150747831113,-0.21265799358453868,-0.2558353782473465,-0.22770002099319495,-0.19901061094632105,-0.190237392500941,-0.257030382719157,-0.24362211677570095,-0.18251944269910123,-0.20572261561756022,-0.23102644752777582,-0.2352677301408091,-0.2024236433956373,-0.20782060810597613,-0.23363807280007418,-0.2699332072183357,-0.22689774770904997,-0.2581706948279004,-0.18708500103093684,-0.23248756168426812,-0.17562905165167259,-0.1631943584491507,-0.20855316421615758,-0.19318164924542153,-0.244356609307163,-0.24482163426000625,-0.23309381411776744,-0.2140854437602684,-0.19922074140049517,-0.221950496883697,-0.20340202112648903,-0.18161544539699598,-0.25219058772615555,-0.204073234621319,-0.24962870226175124,-0.216340868268162,-0.22519895783625543
10.200547327999999,-0.1953262407997889,-0.1501237832043054,-0.14769770487639886,-0.2296682762805306,-0.1989706182305651,-0.19619382046429173,-0.16337895102749048,-0.14867040351132996,-0.18055796044895292,-0.2013476435011918,-0.1649472582045876,-0.20954877418366127,-0.21333633103807056,-0.25965049205946605,-0.18928742788765313,-0.15105975761876575,-0.15407277468329994,-0.12671084391851245,-0.22016537216508628,-0.15327935825605113,-0.19508079164994083,-0.18234479897156625,-0.21643848892979026,-0.15352472850437543,-0.1891671837947797,-0.23949122285141908,-0.16104436805887548,-0.19271443666990049,-0.23354267135229229,-0.2235462308703323,-0.15101447316452063,-0.1850935075365539,-0.19265011401564283,-0.16739717122566486,-0.16557725522060146,-0.2068573006607559,-0.17812706579570659,-0.18636164736069208,-0.14809090056431679,-0.1758389585468519,-0.18927477189572528,-0.13525019068661745,-0.1666907205030189,-0.18500790138412931,-0.2022319592236142,-0.12997854338027537,-0.19814077256264032,-0.16343279394121574,-0.18250438581006684,-0.1567473699771134,-0.15661796966950142,-0.15493895801150107,-0.16953044768888503,-0.1941210489104768,-0.14581577375065535,-0.19801163137890399,-0.16552315220386454,-0.18351388831589638,-0.14658664502868696,-0.20283408245138293,-0.21593782228592318,-0.15696229980260665,-0.2065130160190165,-0.22592389932833612
11.274289151999998,-0.2730299551705165,-0.18865091428493283,-0.23971960231158715,-0.19242781576550833,-0.30823946235822014,-0.21788088105885045,-0.21332220442543207,-0.20566661492089874,-0.18762738424369932,-0.13544576800528116,-0.17876962003148428,-0.23986375612106972,-0.1849009070678481,-0.1955227190129725,-0.18819955371353508,-0.2181070108698415,-0.24293418053275673,-0.21501315819997607,-0.21451629725301505,-0.20379334102887828,-0.22456290298474155,-0.23764728479519753,-0.14395708021454215,-0.21928589233513257,-0.2119815321348142,-0.18305963134064637,-0.1861595897976908,-0.1993071872192169,-0.2228900398310673,-0.19639881857022243,-0.16261520596786536,-0.18339794910778956,-0.22054751665980024,-0.1854019909764507,-0.18573444339771022,-0.23480985250249173,-0.14241237987880595,-0.18968567919052606,-0.19654010393631843,-0.2060866915437925,-0.21452548989327624,-0.16945571680012758,-0.19079346794335703,-0.18953557450939634,-0.1362294561861615,-0.22062079445458949,-0.16341242430748285,-0.1838464460036318,-0.1754440517236487,-0.14906062087642827,-0.23093475440899575,-0.19823033305250906,-0.21644951042253524,-0.22399398790106975,-0.21662433340679854,-0.16635237098671496,-0.19139481648952433,-0.15545814593289314,-0.2066804800249104,-0.22323083659700518,-0.21372249645355623,-0.17044208393365676,-0.1763672367669642,-0.19251411012373865
12.348030975999999,-0.1689987797955317,-0.2119693242046716,-0.20930284544322472,-0.14174555417931906,-0.07388918338464075,-0.1658405425426151,-0.17943784303913293,-0.18183411493997223,-0.10214820670911909,-0.15433857775393076,-0.1790066528025948,-0.1309586865910595,-0.16605472305257404,-0.15292977629828133,-0.20411558829281212,-0.1504802663610982,-0.1579875928509864,-0.103067566333006,-0.13507099476659537,-0.19123865078706462,-0.21274988823902927,-0.18565695457592873,-0.12922235754064917,-0.20196019300575635,-0.1843667449138593,-0.12871046220555268,-0.10371742537660923,-0.1353946614461685,-0.16954176679220317,-0.21945499785527187,-0.19588438781543768,-0.19161811507573084,-0.2039603635826747,-0.126552671160815,-0.21675353500385036,-0.22447185899987485,-0.1545073692977894,-0.17545407187260156,-0.19339268066895393,-0.1825033836815107,-0.1718671012786217,-0.21528402943554933,-0.1698998792812095,-0.16004973788429716,-0.13589410555349396,-0.16370025114156306,-0.1777979159170562,-0.18827480288954185,-0.17858773479955353,-0.1795575608931748,-0.18091230133930886,-0.20057750435911917,-0.12700988736469299,-0.17869071768031322,-0.20406727388035506,-0.15318750799633563,-0.11771524265558193,-0.14954330881092964,-0.18093736805686994,-0.23168550213865405,-0.17859204036358278,-0.13699817106992537,-0.12714832136407495,-0.20955716422758996
13.421772799999998,-0.1872664709309382,-0.19253899976943753,-0.20758649989459496,-0.14945833560860983,-0.22684790430711083,-0.18924110256401555,-0.10822774179229912,-0.21037305727700836,-0.13431681114265562,-0.1821635011500413,-0.16326499161160818,-0.21268849355068856,-0.16614110508401478,-0.18462561904120126,-0.2016415484997976,-0.15871993794904224,-0.12614294711238472,-0.1637430756070119,-0.18698123124444724,-0.22565100501794536,-0.2430145191527637,-0.13893042974606423,-0.17352710840038657,-0.1508401949083366,-0.17108541444758885,-0.13269267832531892,-0.19509909442110387,-0.1964169728952194,-0.19698687449064373,-0.1718753666458984,-0.19046905251785315,-0.12817324734559016,-0.12293914409071606,-0.22932140525829578,-0.1953906342699026,-0.16965939786210324,-0.16569204677944072,-0.17836027514256006,-0.14826467790615944,-0.13461874060366036,-0.17832851299317554,-0.16891447682324465,-0.21031457025258402,-0.2115039988296173,-0.187944412946568,-0.2133534683380276,-0.16426035998405755,-0.18325831207247184,-0.21947464356916108,-0.14803030988800206,-0.15859831909100258,-0.16725229414545797,-0.17007989820558578,-0.17232920335040294,-0.1498301912797615,-0.23629982233978808,-0.1669229374840922,-0.18827574809048592,-0.22689922489891096,-0.13823324224046832,-0.16475385350349825,-0.14248880193502242,-0.1340453908778727,-0.16006981185637414
14.495514623999998,-0.06805667474067637,-0.07972700968717358,-0.09251405581328852,-0.12797169563210836,-0.10442015020297342,-0.10690373800961035,-0.0764614016557711,-0.09105653897027619,-0.11134546416828275,-0.19463990069094247,-0.11086891767419209,-0.13697319012966805,-0.12190193423469152,-0.11918188719677605,-0.14034903429481865,-0.14723360136018268,-0.11671957198268501,-0.16446087944288074,-0.06898852837288619,-0.14659843753595073,-0.06617863574397884,-0.1598488735450831,-0.0993809270554006,-0.0869787801181831,-0.11794598863343708,-0.16361492728486024,-0.06302895537062016,-0.09733886154468305,-0.10964883670177576,-0.11836769588574368,-0.09337090315862692,-0.14693549311985926,-0.10363164247662228,-0.07521371540081288,-0.15277253839511623,-0.15107180859818722,-0.1765916948497761,-0.11820550929821495,-0.1240452320219317,-0.12625426434013726,-0.13295564689906314,-0.12794435251895006,-0.13255283076016763,-0.11831043054033737,-0.11387606036649751,-0.0902520848903805,-0.13503958521427453,-0.1611479243895571,-0.1512285620977179,-0.14511598548519292,-0.16102573315064156,-0.07915880473696493,-0.09972339507658035,-0.14658488438830578,-0.1179073367966339,-0.1914265698287636,-0.13227429554016062,-0.1591707106396955,-0.050076320401525924,-0.09967914005808,-0.12627553862694185,-0.1579673384216481,-0.132300837431103,-0.12631775788031518
15.569256447999997,-0.11505130126274057,-0.1063397608730676,-0.07973238363358957,-0.15160320875085226,-0.10715633122371011,-0.11526742451159018,-0.14791769988784967,-0.1438850893090213,-0.1529030593020642,-0.09007238782110757,-0.10755372968352665,-0.09998994600859337,-0.08498020210702505,-0.1253558033578364,-0.12391560904714945,-0.12214681848750583,-0.13713474396354286,-0.13530666816015063,-0.12001623985374213,-0.09701988260764795,-0.11087134206068835,-0.1199734853996363,-0.13115479227833152,-0.1612609941637077,-0.1692534805915784,-0.11016029720797503,-0.15333240619345037,-0.12731140734727628,-0.1407687123116505,-0.12195100046977002,-0.07007870438142813,-0.08344436473479229,-0.1112990051665942,-0.1279785558248737,-0.10639613869924298,-0.1624088951565292,-0.1674216692626942,-0.10888393890179161,-0.10263919987690835,-0.1124193184826124,-0.058970223006326705,-0.12628840137663896,-0.07567620861976009,-0.10856284339596252,-0.0784524686335187,-0.07771862135268748,-0.13261465964855493,-0.1358808151146929,-0.050895243983437206,-0.1261447658263413,-0.12544403264681542,-0.12888469489657187,-0.10289682087022811,-0.14610543952689373,-0.09037227078806609,-0.0763932487461716,-0.08063954427988003,-0.18412017186139046,-0.08931483664283794,-0.12320641955427293,-0.18356218856933992,-0.13219966933996016,-0.14990353444591165,-0.08012412837706506
16.642998271999996,-0.1334308405140681,-0.07583858147596143,-0.11489321574065668,-0.15685349878705374,-0.1265504979913073,-0.08532269172636527,-0.11705696292171654,-0.07476143375138886,-0.14073609727451444,-0.16008442080679483,-0.15087931034005514,-0.0873396052130764,-0.14927434661824787,-0.14440468786883034,-0.1710503139350164,-0.1998846341656255,-0.1085418445218238,-0.08846404838342485,-0.16408959058130027,-0.13800793300885875,-0.11023270809424243,-0.07609609239235786,-0.13997821685604453,-0.1176193673288383,-0.13187474475125782,-0.1311864391495224,-0.07989081880493488,-0.23101897420461423,-0.09807274296846506,-0.12040436424597699,-0.07380439701124228,-0.1723994169317718,-0.10897890181929272,-0.14684531089317585,-0.1290606782152151,-0.12989030715003277,-0.1364293699443806,-0.14119078885830408,-0.16412975051415352,-0.16327698163721444,-0.1503015894559212,-0.1567843504661661,-0.10591899443118434,-0.09597476710249404,-0.07080855292068529,-0.17644870118238032,-0.11703270910324395,-0.11291695597381997,-0.11501784632699648,-0.11063984683382191,-0.14432464579502785,-0.133233881913059,-0.11197594937402755,-0.13167058037028515,-0.10226201906334609,-0.1982252395246178,-0.16802556380779216,-0.12606216330979286,-0.125041585049725,-0.19985656222395068,-0.16410086971882265,-0.17550803170472914,-0.11560375103726983,-0.16879055253230035
17.716740096,-0.04354535608685443,-0.03458693139587662,0.013367860545778447,0.0035544113364137176,-0.06166129795954995,-0.032211917119898965,-0.06816130958447632,-0.10435736760596878,-0.12250591981241346,-0.13066644406977243,-0.06611094054616322,-0.07094548177805596,-0.04342639559347715,-0.011370997826036598,-0.08739426367018106,-0.052753396032910266,-0.09509358379727928,-0.042885807035158256,-0.006235566958951364,-0.08920174251813608,-0.02831783430052123,-0.11292995237246421,-0.13648587641052604,-0.014936441568092311,-0.06873690054635517,-0.05259341602816546,-0.07200250914736119,-0.0524914327460075,-0.08024163350429651,-0.07380391069039303,0.00070552493811452,-0.11604890263905483,-0.13533047290236158,-0.12263861295234944,-0.09752553704519025,-0.11935787584557797,-0.009639497875468805,-0.06086445894158844,-0.12373353698265939,-0.03891255714032533,-0.03563375474186614,0.0004691617151755577,-0.03249516363887649,-0.06676515702773551,-0.02279217240201043,-0.05961207882501185,-0.037542107086794986,-0.025474442418531647,-0.04631812508003869,-0.1444705714904038,-0.049078420199553614,-0.07473458292328619,-0.04827432718593627,-0.06715050072775089,-0.1256573636783287,-0.055483350763097405,-0.03939521253258655,-0.07227822502110419,-0.05342279710540814,-0.052833115366021435,-0.03697866869333666,-0.10307464943200882,-0.02727052615955472,-0.057057097321376204
