window,on_max_snr,spectral_width_channels,one_channel_max_snr,frequency_mhz,scale,phase_cycles,active_epochs,off_same_hypothesis_snr,off_global_max_snr,empirical_window_p,null_99th_percentile
m7_1403,7.144180118564718,9,5.2979705501396905,1403.083610534668,0.75,0.0,2+3,-inf,7.277421479573118,0.6575875486381323,11.366927146911621
m7_1416,6.693200747303237,5,5.567323553662023,1416.5210304260254,0.0,0.0,2+3,-inf,6.078628214959328,0.15953307392996108,7.125333786010742
